"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Unperfect – Liebe wider Willen","ein workplace liebesroman (wenn liebe schmerzt 1)",4.5,978,"susie tate",40,32,424,"No","4,99 €","1.168 €","26.856 €","https://www.amazon.de/Unperfect-Liebe-Willen-Workplace-Liebesroman-schmerzt-ebook/dp/B0GF8L3TQY"
"Want me, Mister Tycoon - a The Bet Enemies to","",4.4,814,"emily key",195,1235,275,"Yes","3,41 €","43 €","997 €","https://www.amazon.de/Want-Mister-Tycoon-Million%C3%A4r-Workplace-ebook/dp/B0DPGQPJPL"
"Guarded King","a billionaire workplace romance (empty kingdom book 3) (english edition)",4.5,7054,"l. m. dalgleish",402,10861,532,"Yes","5 €","2 €","53 €","https://www.amazon.de/Guarded-King-Billionaire-Workplace-Romance-ebook/dp/B0DRYFYTP3"
"Coldhearted King","a billionaire workplace romance (empty kingdom book 1) (english edition)",4.5,18661,"l. m.  dalgleish",990,20266,418,"Yes","4,36 €","1 €","25 €","https://www.amazon.de/Coldhearted-King-Billionaire-Workplace-Romance-ebook/dp/B0C53RMWDY"
"Tease me, Mister Titan","an forbidden attraction enemies to lovers workplace he falls first romance (manhattan millionär’s 5)",4.4,173,"emily key",14,108,276,"No","3,41 €","364 €","8.376 €","https://www.amazon.de/Tease-Mister-Titan-Attraction-Million%C3%A4rs-ebook/dp/B0FJYGRTPZ"
"Overruled","the unmissable steamy workplace romance from bestselling author of the nanny (english edition)",4.1,1672,"lana ferguson",257,114482,375,"Yes","5,99 €","0 €","120 €","https://www.amazon.de/Overruled-unmissable-workplace-romance-bestselling-ebook/dp/B0F1KJ4Y4S"
"Workplace Romance","a smutty romantic comedy (english edition)",3.6,44,"kate j. blake",104,927204,86,"Yes","3,47 €","0 €","3 €","https://www.amazon.de/Workplace-Romance-Smutty-Romantic-English-ebook/dp/B0G4MVMGG6"
"Code Grump","a forced proximity medical workplace romance (hearts on call) (english edition)",4.2,70,"sofia  archer",152,449070,238,"Yes","3,07 €","0 €","15 €","https://www.amazon.de/Code-Grump-Proximity-Medical-Workplace-ebook/dp/B0FT6BLH8Z"
"Love Linked","a grumpy millionaire boss  forbidden workplace romance. (the love linked series book 1) (english edition)",3.8,1534,"allison speka",769,40295,294,"Yes","3,99 €","1 €","11 €","https://www.amazon.de/Love-Linked-English-Allison-Speka-ebook/dp/B0CSQQ1Q1K"
"Love to Loathe Him","a billionaire office romance (billionaire brits) (english edition)",4.5,14019,"rosa lucas",514,6786,485,"No","5,7 €","15 €","356 €","https://www.amazon.de/Love-Loathe-Him-Billionaire-Romance-ebook/dp/B0DJBFS31K"
"Unperfect – Liebe wider Willen","ein workplace liebesroman (wenn liebe schmerzt 1)",4.5,978,"susie tate",40,32,424,"No","5,7 €","1.334 €","30.677 €","https://www.amazon.de/Unperfect-Liebe-Willen-Workplace-Liebesroman-schmerzt-ebook/dp/B0GF8L3TQY"
"Want me, Mister Tycoon - a The Bet Enemies to","",4.4,814,"emily key",195,1235,275,"Yes","3,41 €","43 €","997 €","https://www.amazon.de/Want-Mister-Tycoon-Million%C3%A4r-Workplace-ebook/dp/B0DPGQPJPL"
"Guarded King","a billionaire workplace romance (empty kingdom book 3) (english edition)",4.5,7054,"l. m. dalgleish",402,10861,532,"Yes","5 €","2 €","53 €","https://www.amazon.de/Guarded-King-Billionaire-Workplace-Romance-ebook/dp/B0DRYFYTP3"
"Coldhearted King","a billionaire workplace romance (empty kingdom book 1) (english edition)",4.5,18661,"l. m.  dalgleish",990,20266,418,"Yes","4,36 €","1 €","25 €","https://www.amazon.de/Coldhearted-King-Billionaire-Workplace-Romance-ebook/dp/B0C53RMWDY"
"Tease me, Mister Titan","an forbidden attraction enemies to lovers workplace he falls first romance (manhattan millionär’s 5)",4.4,173,"emily key",14,108,276,"No","3,41 €","364 €","8.376 €","https://www.amazon.de/Tease-Mister-Titan-Attraction-Million%C3%A4rs-ebook/dp/B0FJYGRTPZ"
"Overruled","the unmissable steamy workplace romance from bestselling author of the nanny (english edition)",4.1,1672,"lana ferguson",257,114482,375,"Yes","6,84 €","0 €","137 €","https://www.amazon.de/Overruled-unmissable-workplace-romance-bestselling-ebook/dp/B0F1KJ4Y4S"
"Workplace Romance","a smutty romantic comedy (english edition)",3.6,44,"kate j. blake",104,927204,86,"Yes","3,47 €","0 €","3 €","https://www.amazon.de/Workplace-Romance-Smutty-Romantic-English-ebook/dp/B0G4MVMGG6"
"Code Grump","a forced proximity medical workplace romance (hearts on call) (english edition)",4.2,70,"sofia  archer",152,449070,238,"Yes","2,69 €","0 €","13 €","https://www.amazon.de/Code-Grump-Proximity-Medical-Workplace-ebook/dp/B0FT6BLH8Z"
"Love Linked","a grumpy millionaire boss  forbidden workplace romance. (the love linked series book 1) (english edition)",3.8,1534,"allison speka",769,40295,294,"Yes","3,99 €","1 €","11 €","https://www.amazon.de/Love-Linked-English-Allison-Speka-ebook/dp/B0CSQQ1Q1K"
"Love to Loathe Him","a billionaire office romance (billionaire brits) (english edition)",4.5,14019,"rosa lucas",514,6786,485,"No","4,99 €","14 €","312 €","https://www.amazon.de/Love-Loathe-Him-Billionaire-Romance-ebook/dp/B0DJBFS31K"
