"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"eifel liebesroman","378","320","13 €","170 €","<50","Red",1,"Green"
"liebesroman pfalz","256","90","11 €","19 €","<50","Red",1,"Green"
"sapphischer liebesroman","277","1.000","8 €","57 €","<50","Red",13,"Green"
"liebesroman adel","264","5.000","8 €","48 €","<50","Red",20,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"elben liebesroman","358","232","13 €","106 €","<50","Red",1,"Green"
"werewolf liebesroman","326","50.000","6 €","127 €","179","Red",25,"Green"
"royal liebesroman","304","20.000","3 €","665 €","349","Red",45,"Yellow"
"cornwall liebesroman","318","3.000","9 €","288 €","208","Red",4,"Green"
"ostfriesland liebesroman","334","250","13 €","235 €","<50","Red",18,"Green"
"adel liebesroman","264","5.000","9 €","58 €","<50","Red",20,"Green"
"liebesroman köln","331","10.000","13 €","144 €","<50","Red",20,"Green"
"liebesroman elba","248","88","12 €","18 €","<50","Red",1,"Green"
"liebesroman cornwall","295","3.000","7 €","166 €","129","Red",35,"Green"
"liebesroman frankfurt","267","1.000","10 €","55 €","<50","Red",20,"Green"
"fantasy-liebesroman","533","70.000","11 €","874 €","1.573","Red",69,"Yellow"
"liebesroman einsiedler","161","79","3 €","111 €","<50","Red",1,"Green"
