"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"allgäu liebesgeschichte","205","17","11 €","44 €","<50","Red",1,"Green"
"liebesroman allgäu","234","63","3 €","283 €","<50","Red",25,"Green"
"liebesgeschichte","376","60.000","4 €","416 €","72","Red",67,"Yellow"
"ungewöhnliche liebesgeschichte","233","309","2 €","9 €","<50","Red",45,"Yellow"
"wahre liebesgeschichte","233","1.000","5 €","109 €","<50","Red",28,"Green"
"historischer roman allgäu","402","32","9 €","57 €","<50","Red",25,"Green"
"liebesgeschichte südtirol","266","32","4 €","42 €","<50","Red",9,"Green"
"zeitgenössische liebesgeschichte","318","20.000","3 €","232 €","307","Red",32,"Green"
"deutsche liebesgeschichten","302","50.000","1 €","260 €","713","Red",63,"Yellow"
"altenheim liebesgeschichte","277","9","9 €","53 €","<50","Red",1,"Green"
"eine christliche liebesgeschichte","230","167","4 €","64 €","<50","Red",4,"Green"
"große liebesgeschichte","408","5.000","7 €","26 €","<50","Red",32,"Green"
"zürich liebesgeschichte","319","35","11 €","49 €","<50","Red",9,"Green"
"paranormal liebesgeschichte","353","10.000","5 €","344 €","<50","Red",21,"Green"
"übersinnliche liebesgeschichte","209","545","3 €","9 €","<50","Red",80,"Red"
"liebesgeschichte deutsch","275","50.000","5 €","822 €","128","Red",33,"Green"
"liebesgeschichte mit herz","189","3.000","4 €","77 €","<50","Red",30,"Green"
"roadtrip eine liebesgeschichte","287","106","4 €","4 €","<50","Red",61,"Yellow"
