"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"allgäu roman","284","159","6 €","29 €","<50","Red",13,"Green"
"roman allgäu","335","187","8 €","15 €","<50","Red",2,"Green"
"historischer roman allgäu","402","32","9 €","57 €","<50","Red",25,"Green"
"liebesroman allgäu","234","63","3 €","283 €","<50","Red",25,"Green"
"alpen roman","357","370","5 €","4 €","<50","Red",61,"Yellow"
"ruhrgebiet roman","347","319","9 €","210 €","<50","Red",16,"Green"
"alpen roman deutsch","275","3.000","5 €","44 €","<50","Red",20,"Green"
"romane schwäbische alb","298","121","14 €","132 €","<50","Red",13,"Green"
"romane allgaeu","335","258","9 €","10 €","<50","Red",1,"Green"
"steiermark roman","270","132","8 €","88 €","<50","Red",13,"Green"
"alpenroman","258","1.000","4 €","26 €","<50","Red",48,"Yellow"
"roman deutsch alpen","300","3.000","6 €","295 €","<50","Red",40,"Green"
"bayerische romane","307","734","9 €","265 €","<50","Red",5,"Green"
"buchempfehlung roman","567","364","12 €","172 €","304","Red",7,"Green"
"romane oberbayern","371","270","9 €","97 €","<50","Red",11,"Green"
"historischer roman augsburg","469","96","8 €","82 €","<50","Red",8,"Green"
"romance book german","321","60.000","2 €","68 €","<50","Red",61,"Yellow"
"deutsch roman","285","70.000","4 €","75 €","97","Red",7,"Green"
"roman deutsch","397","70.000","6 €","3.607 €","1.056","Red",58,"Yellow"
"ungewöhnlicher roman","409","3.000","8 €","72 €","<50","Red",23,"Green"
"alpha deutsch roman","364","8.000","4 €","147 €","78","Red",7,"Green"
"roman anspruchsvoll","417","2.000","10 €","1.257 €","362","Red",65,"Yellow"
"romance german","305","60.000","3 €","1.822 €","337","Red",62,"Yellow"
