"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"eifel heimatroman","376","64","8 €","77 €","<50","Red",1,"Green"
"heimatroman","356","5.000","3 €","40 €","70","Red",70,"Red"
"historische romane eifel","491","119","7 €","55 €","<50","Red",20,"Green"
"historischer roman eifel","491","109","7 €","57 €","<50","Red",20,"Green"
"liebesroman heimatroman","433","5.000","5 €","171 €","<50","Red",25,"Green"
"prime reading heimatroman","754","107","5 €","54 €","<50","Red",13,"Green"
"heimatroman kindle","424","5.000","5 €","46 €","<50","Red",20,"Green"
"heimat liebesromane","333","3.000","4 €","41 €","<50","Red",26,"Green"
"familienroman südtirol","317","63","8 €","96 €","<50","Red",12,"Green"
"romane aus der eifel","354","222","8 €","87 €","<50","Red",20,"Green"
"liebesroman pfalz","489","45","9 €","9 €","<50","Red",2,"Green"
"farm liebesroman","362","10.000","6 €","75 €","<50","Red",39,"Green"
