"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"grumpy meets sunshine deutsch","408","99","6 €","70 €","<50","Red",60,"Yellow"
"grumpy x sunshine deutsch","394","75","4 €","443 €","382","Green",48,"Yellow"
"grumpy sunshine romance deutsch","399","1.000","2 €","956 €","224","Yellow",60,"Yellow"
"grumpy sunshine deutsch","424","245","3 €","4.236 €","223","Yellow",43,"Yellow"
"grumpy meets sunshine","287","137","3 €","216 €","309","Yellow",48,"Yellow"
"sunshine grumpy deutsch","364","125","8 €","808 €","4.089","Green",61,"Yellow"
"grumpy trifft sonnenschein","N/A","N/A","N/A","N/A","N/A","","N/A",""
"grumpy x sunshine bücher deutsch","408","61","3 €","431 €","96","Red",42,"Yellow"
"grumpy sunshine trope deutsch","305","89","4 €","170 €","<50","Red",5,"Green"
"liebesroman deutsch grumpy","282","1.000","2 €","454 €","1.122","Yellow",85,"Red"
"mm grumpy deutsch","317","10","4 €","206 €","<50","Red",1,"Green"
"liebesroman grumpy deutsch","315","1.000","1 €","365 €","205","Yellow",55,"Yellow"
"grumpy sunshine romance englisch","417","10.000","3 €","219 €","<50","Red",33,"Green"
"grumpy meets sunshine liebesroman","479","968","3 €","192 €","<50","Red",36,"Green"
"grumpy meets sunshine bücher","287","124","5 €","68 €","<50","Red",49,"Yellow"
"when grumpy met sunshine","396","78","6 €","2.235 €","<50","Red",34,"Green"
"grumpy deutsch","290","88","3 €","229 €","210","Red",64,"Yellow"
"grumpy x sunshine english","411","359","3 €","31 €","<50","Red",6,"Green"
"grumpy liebesroman deutsch","286","1.000","2 €","124 €","305","Yellow",63,"Yellow"
"grumpy gay romance deutsch","246","210","4 €","784 €","281","Yellow",65,"Yellow"
"romcom deutsch grumpy","354","284","5 €","2.280 €","52","Red",36,"Green"
"grumpy vs sunshine deutsch romane","351","70","4 €","56 €","<50","Red",26,"Green"
"grumpy sunshine english","285","10.000","4 €","494 €","<50","Red",24,"Green"
"spicy grumpy romance deutsch","341","195","3 €","139 €","<50","Red",29,"Green"
"grumpy liebesromane deutsch","346","1.000","4 €","353 €","125","Red",50,"Yellow"
