"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"grumpy sunshine liebesroman","286","10.000","2 €","70 €","<50","Red",48,"Yellow"
"grumpy sunshine","378","20.000","1 €","1.014 €","123","Red",66,"Yellow"
"grumpy-sunshine","345","10.000","3 €","562 €","363","Red",40,"Green"
"grumpy sunshine deutsch","424","245","3 €","4.236 €","223","Yellow",43,"Yellow"
"sunshine und grumpy liebesroman","318","10.000","5 €","30 €","<50","Red",15,"Green"
"grumpy sunshine romance","399","20.000","1 €","1.535 €","578","Yellow",57,"Yellow"
"sunshine grumpy romance","343","20.000","3 €","291 €","<50","Red",25,"Green"
"grumpy sunshine romanze","290","20.000","3 €","224 €","375","Yellow",55,"Yellow"
"funny grumpy sunshine romance","666","1.000","5 €","80 €","<50","Red",41,"Yellow"
"grumpy sunshine fantasy romance","453","2.000","6 €","88 €","<50","Red",33,"Green"
"grumpy sunshine romance deutsch","399","1.000","2 €","956 €","224","Yellow",60,"Yellow"
"grumpy x sunshine romance","271","2.000","3 €","42 €","<50","Red",40,"Green"
"grumpy sunshine comedy romance","260","6.000","2 €","68 €","<50","Red",50,"Yellow"
"grumpy liebesroman","260","20.000","2 €","115 €","94","Red",57,"Yellow"
"grumpy meets sunshine liebesroman","479","968","3 €","192 €","<50","Red",36,"Green"
"grumpy and sunshine cozy romance","407","1.000","3 €","48 €","<50","Red",33,"Green"
"mm grumpy/sunshine romance","212","1.000","2 €","51 €","<50","Red",31,"Green"
"grumpy x sunshine romance books","338","2.000","2 €","46 €","61","Red",51,"Yellow"
"grumpy sunshine romantic fantasy","362","278","3 €","45 €","<50","Red",33,"Green"
"grumpy sunshine trope romanze","538","1.000","6 €","56 €","<50","Red",35,"Green"
