"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"heimatroman allgäu alm","244","10","9 €","49 €","<50","Red",1,"Green"
"liebesroman allgäu","234","63","3 €","283 €","<50","Red",25,"Green"
"heimatroman alpen","459","2.000","5 €","48 €","<50","Red",45,"Yellow"
"historischer roman allgäu","402","32","9 €","57 €","<50","Red",25,"Green"
"allgäu roman","284","159","6 €","29 €","<50","Red",13,"Green"
"liebesroman alpen","300","2.000","2 €","16 €","<50","Red",34,"Green"
"alphamann liebesroman","277","1.000","3 €","40 €","<50","Red",20,"Green"
"prime reading heimatroman","754","107","5 €","54 €","<50","Red",13,"Green"
"heimatroman","356","5.000","3 €","40 €","70","Red",70,"Red"
"liebesroman heimatroman","433","5.000","5 €","171 €","<50","Red",25,"Green"
"liebesroman alphaman","201","50.000","2 €","57 €","<50","Red",15,"Green"
"alpen roman deutsch","275","3.000","5 €","44 €","<50","Red",20,"Green"
"weihnachtsroman alpen","239","76","3 €","93 €","<50","Red",25,"Green"
"alpha liebesroman","282","60.000","3 €","62 €","104","Red",32,"Green"
"alpen liebesromane deutsch","198","2.000","4 €","40 €","<50","Red",49,"Yellow"
"historischer roman alpen","326","209","4 €","87 €","<50","Red",62,"Yellow"
"liebesroman mit alphamann","197","544","3 €","116 €","<50","Red",20,"Green"
"liebesroman alpaka","256","39","6 €","6 €","<50","Red",16,"Green"
"liebesroman deutsch alpha","407","9.000","3 €","871 €","619","Red",60,"Yellow"
"familienroman deutsch","323","20.000","6 €","401 €","219","Red",29,"Green"
"family romance deutsch","311","10.000","2 €","7.197 €","112","Red",65,"Yellow"
"small town liebesroman","405","50.000","1 €","21 €","63","Red",29,"Green"
