"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"neuanfang liebesroman","306","2.000","1 €","129 €","87","Red",22,"Green"
"liebesroman neuanfang","351","2.000","1 €","394 €","<50","Red",21,"Green"
"helena sanfort","315","8","2 €","68 €","<50","Red",33,"Green"
"neuanfang","320","3.000","4 €","394 €","<50","Red",75,"Red"
"katrina verde","412","10","6 €","180 €","122","Red",43,"Yellow"
"liebesroman mit neuanfang","295","849","5 €","68 €","<50","Red",26,"Green"
"neuanfang liebesroman deutsch","349","2.000","N/A","96 €","<50","Red",62,"Yellow"
"liebesroman neustart","155","156","2 €","13 €","<50","Red",21,"Green"
"neuanfang liebesromane deutsch","311","2.000","N/A","734 €","351","Yellow",46,"Yellow"
"neuanfang romance deutsch","351","2.000","3 €","387 €","634","Yellow",65,"Yellow"
"second-chance liebesroman","282","50.000","3 €","1.122 €","986","Red",65,"Yellow"
"liebesroman burnout neuanfang","295","79","4 €","32 €","<50","Red",35,"Green"
"liebesroman mit wieder verlieben","337","194","2 €","494 €","<50","Red",64,"Yellow"
"liebesroman frau will neu anfangen","227","10","4 €","55 €","<50","Red",48,"Yellow"
"neuanfang liebesromane","316","2.000","N/A","59 €","<50","Red",64,"Yellow"
"liebesromane neuanfang","292","2.000","N/A","77 €","<50","Red",61,"Yellow"
"liebesroman neue start","283","72","8 €","7.202 €","249","Yellow",48,"Yellow"
"frauenroman neuanfang liebe","304","424","3 €","106 €","<50","Red",20,"Green"
