"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"neuanfang romance deutsch","351","2.000","3 €","387 €","634","Yellow",65,"Yellow"
"neuanfang","320","3.000","4 €","394 €","<50","Red",75,"Red"
"neuanfang liebesroman","306","2.000","1 €","129 €","87","Red",22,"Green"
"liebesroman neuanfang","351","2.000","1 €","394 €","<50","Red",21,"Green"
"romance neuanfang","347","2.000","3 €","457 €","155","Red",59,"Yellow"
"ein neuanfang","343","4.000","5 €","369 €","522","Red",58,"Yellow"
"neuanfang liebesroman deutsch","349","2.000","N/A","96 €","<50","Red",62,"Yellow"
"new beginning romance deutsch","284","264","8 €","2.058 €","825","Green",61,"Yellow"
"neuanfang liebesromane deutsch","311","2.000","N/A","734 €","351","Yellow",46,"Yellow"
"new romance deutsch","353","10.000","1 €","4.976 €","636","Yellow",60,"Yellow"
"romance mit neuanfang","295","653","3 €","359 €","54","Red",22,"Green"
"romance in deutsch","238","20.000","1 €","513 €","1.474","Red",65,"Yellow"
"second chance romance deutsch","340","3.000","N/A","1.048 €","245","Yellow",57,"Yellow"
"liebesroman neustart","155","156","2 €","13 €","<50","Red",21,"Green"
"romance deutsch zurückgewinnen","180","10","4 €","54 €","<50","Red",16,"Green"
"liebesroman mit neuanfang","295","849","5 €","68 €","<50","Red",26,"Green"
"gay romance deutsch neuerscheinung","320","221","5 €","69 €","<50","Red",22,"Green"
"second chance liebesroman deutsch","303","4.000","2 €","499 €","203","Yellow",36,"Green"
"romance deutsch zweite chance","462","6.000","4 €","385 €","165","Red",64,"Yellow"
"romance auf deutsch","330","10.000","4 €","5.837 €","3.165","Green",56,"Yellow"
"romance reverse deutsch","471","2.000","3 €","2.633 €","2.119","Green",67,"Yellow"
