"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"office romance deutsch","361","982","4 €","3.228 €","856","Yellow",56,"Yellow"
"office liebesroman","458","40.000","3 €","12 €","<50","Red",16,"Green"
"office romance","373","30.000","4 €","898 €","86","Red",85,"Red"
"spicy romance deutsch","368","4.000","4 €","1.780 €","851","Yellow",57,"Yellow"
"office romance in deutsch","289","224","5 €","230 €","<50","Red",46,"Yellow"
"spicy office romance deutsch","311","161","2 €","50 €","<50","Red",26,"Green"
"workplace romance deutsch","346","1.000","3 €","299 €","69","Red",64,"Yellow"
"boss office romance deutsch","356","821","1 €","433 €","541","Green",62,"Yellow"
"dirty office romance deutsch","372","165","4 €","130 €","239","Yellow",65,"Yellow"
"gay office romance deutsch","264","139","1 €","28 €","71","Red",61,"Yellow"
"ceo office romance deutsch","317","575","1 €","1.102 €","2.489","Green",64,"Yellow"
"büro romance deutsch","296","1.000","3 €","570 €","300","Yellow",53,"Yellow"
"boss employee romance auf deutsch","342","215","3 €","307 €","75","Red",31,"Green"
"office romance deutsch kindle","270","393","2 €","406 €","660","Green",63,"Yellow"
"dark office romance deutsch","286","139","3 €","28 €","<50","Red",39,"Green"
"office romance english","328","30.000","3 €","90 €","<50","Red",22,"Green"
"gay romance office deutsch","272","144","4 €","87 €","52","Red",25,"Green"
"office romance liebesromane deutsch","252","1.000","2 €","262 €","<50","Red",41,"Yellow"
"heiße office romance","335","485","3 €","95 €","<50","Red",49,"Yellow"
"office liebesromane deutsch","341","1.000","2 €","576 €","340","Yellow",38,"Green"
"office romance book","228","40.000","N/A","7 €","69","Red",80,"Red"
"liebesroman deutsch büro","279","1.000","2 €","16.363 €","1.157","Yellow",85,"Red"
"büro-romanze","213","58","2 €","107 €","233","Red",85,"Red"
