"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"second chance romance deutsch","340","3.000","N/A","1.048 €","245","Yellow",57,"Yellow"
"second chance deutsch","328","4.000","1 €","865 €","1.346","Yellow",44,"Yellow"
"second chance","342","60.000","2 €","674 €","1.600","Red",84,"Red"
"second chance liebesromane deutsch","369","4.000","N/A","1.335 €","434","Green",51,"Yellow"
"slow burn romance deutsch","385","2.000","3 €","309 €","81","Red",60,"Yellow"
"zweite chance romance deutsch","297","6.000","3 €","819 €","131","Red",60,"Yellow"
"romance deutsch zweite chance","462","6.000","4 €","385 €","165","Red",64,"Yellow"
"second chance romance deutsch ehe","309","343","3 €","42 €","<50","Red",57,"Yellow"
"second chance liebesroman deutsch","303","4.000","2 €","499 €","203","Yellow",36,"Green"
"dark romance deutsch zweite chance","363","172","12 €","6 €","155","Red",65,"Yellow"
"liebesromane deutsch zweite chance","267","6.000","2 €","180 €","<50","Red",37,"Green"
"2. chance deutsch liebesroman","295","1.000","6 €","247 €","<50","Red",35,"Green"
"second chance romance mc deutsch","157","167","2 €","85 €","<50","Red",57,"Yellow"
"zweite chance liebesromane deutsch","396","6.000","1 €","355 €","105","Red",48,"Yellow"
"second chance romanze deutsch","252","4.000","3 €","567 €","451","Green",38,"Green"
"second chance deutsch romanze","260","973","4 €","121 €","<50","Red",32,"Green"
"liebesromane deutsch second chance","306","3.000","2 €","601 €","193","Red",62,"Yellow"
"liebesroman deutsch zweite chancen","311","6.000","4 €","220 €","<50","Red",77,"Red"
"second chance dark romance deutsch","365","257","N/A","5 €","<50","Red",61,"Yellow"
"second chance gay romance deutsch","377","250","4 €","369 €","179","Red",65,"Yellow"
