"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"workplace liebesroman","375","40.000","3 €","441 €","364","Red",85,"Red"
"arbeitsplatz liebesroman","380","1.000","6 €","1.071 €","1.008","Red",58,"Yellow"
"arbeitsplatz liebessroman","322","1.000","2 €","1.775 €","71","Red",49,"Yellow"
"liebesroman am arbeitsplatz","372","431","7 €","411 €","<50","Red",28,"Green"
"arbeitsplatz liebesroman deutsch","382","1.000","7 €","1.011 €","459","Yellow",60,"Yellow"
"workplace romance","348","40.000","2 €","182 €","640","Red",91,"Red"
"harem-liebesroman am arbeitsplatz","213","4","4 €","34 €","<50","Red",3,"Green"
"liebe am arbeitsplatz roman","260","98","5 €","41 €","<50","Red",40,"Green"
"liebesroman chef arbeitsplatz","324","273","4 €","696 €","415","Yellow",53,"Yellow"
"workplace fantasy romance","361","1.000","1 €","8 €","<50","Red",25,"Green"
"arbeitsplatz-romanze","231","448","1 €","93 €","2.605","Yellow",46,"Yellow"
"liebesroman im büro","139","423","3 €","556 €","325","Yellow",40,"Green"
"arbeitsplatzromanze","312","364","5 €","398 €","178","Red",55,"Yellow"
"büro-liebesroman","303","1.000","N/A","12 €","57","Red",66,"Yellow"
"workplace romance deutsch","346","1.000","3 €","299 €","69","Red",64,"Yellow"
"arbeitsplatz romance","274","973","2 €","1.586 €","1.247","Red",39,"Green"
"liebesroman auf der arbeit","101","269","4 €","11 €","<50","Red",36,"Green"
