"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Mondlichtfrauen","roman | ein bezaubernder frauenroman über neuanfänge und zweite chancen",4.3,97,"barbara davis",1177,221198,512,"No","12 €","1 €","168 €","https://www.amazon.de/Mondlichtfrauen-bezaubernder-Frauenroman-Neuanf%C3%A4nge-Chancen/dp/3492282490"
"Villa Strandbrise und das Leuchten des Horizonts (Neuanfang am Meer,","",4.3,1077,"mia peters",61,78133,262,"No","11,99 €","4 €","88 €","https://www.amazon.de/Villa-Strandbrise-Leuchten-Horizonts-Neuanfang/dp/B0G7FL15W6"
"Sommerhimmel über der Toskana","roman | frauenroman über einen neuanfang in italien für den urlaub",4.1,37,"sarah short",722,316456,340,"No","18 €","1 €","180 €","https://www.amazon.de/Sommerhimmel-%C3%BCber-Toskana-Frauenroman-Neuanfang/dp/3492506852"
"Villa Strandbrise und der See der Träume (Neuanfang am Meer,","",4.2,3383,"mia peters",199,35155,256,"No","11,99 €","21 €","480 €","https://www.amazon.de/Villa-Strandbrise-Tr%C3%A4ume-Neuanfang-Meer/dp/B0FKBQLJPK"
"Liv - Neuanfang mit Hindernissen","roman",4.1,164,"elisabeth büchle",1803,770110,320,"No","0 €","0 €","0 €","https://www.amazon.de/Liv-Neuanfang-mit-Hindernissen-Roman/dp/3957347084"
"Neuanfang auf Sylt","ein insel liebesroman für fans von found family und second chance romance",4.1,24,"nadine feger",81,357175,272,"No","12,99 €","1 €","104 €","https://www.amazon.de/Neuanfang-auf-Sylt-Insel-Liebesroman-Romance/dp/396714531X"
"Auf Lachen, Liebe und Neuanfänge","eine geschichte über mut und freundschaft",,,"mag. pharm. caro frauendorfer",268,1196633,236,"No","13,4 €","0 €","13 €","https://www.amazon.de/Auf-Lachen-Liebe-Neuanf%C3%A4nge-Freundschaft/dp/3991813300"
"Neuanfang in Notting Hill","roman | »eine warme  absolut bezaubernde liebesgeschichte.« jenny colgan",4.2,214,"norie clarke",253,62605,416,"No","13 €","5 €","119 €","https://www.amazon.de/Neuanfang-Notting-Hill-bezaubernde-Liebesgeschichte-%C2%AB/dp/3423221054"
"Ein neuer Sommer in der kleinen Bäckerei (Die kleine Bäckerei","roman | sommerlich heiterer frauenroman über einen neuanfang auf einer insel vor cornwall",4.4,988,"jenny colgan",1366,39183,496,"No","13 €","20 €","461 €","https://www.amazon.de/Sommer-kleinen-B%C3%A4ckerei-kleine-Strandweg/dp/3492318088"
"Das Echo vergessener Bücher","roman | für alle fans von ""der verschwundene buchladen"" – ein ergreifender frauenroman auf zwei zeitebenen",4.4,140,"barbara davis",484,23821,496,"No","16,46 €","38 €","874 €","https://www.amazon.de/Das-Echo-vergessener-B%C3%BCcher-ergreifender/dp/3492282555"
