"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Falling Twice","zweite chance mit meiner highschoolliebe (hearts of starlight springs 7)",4.4,89,"katrin emilia buck",5,50,278,"No","3,99 €","289 €","6.650 €","https://www.amazon.de/Falling-Twice-Highschoolliebe-Starlight-Springs-ebook/dp/B0G5XKC9VK"
"Fakes & Fireworks","knisternde küsse mit meinem fake freund (hearts of starlight springs 8)",,,"katrin emilia buck",-64,1976,280,"No","4,7 €","29 €","659 €","https://www.amazon.de/Fakes-Fireworks-Knisternde-Fake-Freund-Starlight-ebook/dp/B0GMRR1NBY"
"Silent Dreams","verlockende küsse vom single dad und cowboy (hearts of starlight springs 6)",4.5,548,"katrin emilia buck",68,1065,352,"No","3,99 €","39 €","894 €","https://www.amazon.de/Silent-Dreams-Verlockende-Single-Dad-Starlight-ebook/dp/B0FX8N9PNJ"
"Geheime Küsse mit dem Security-Specialist","a friends to lovers romance (san antonio billionaires  band 15)",4.5,1290,"katrin emilia buck",530,297585,364,"No","12,99 €","1 €","143 €","https://www.amazon.de/Geheime-K%C3%BCsse-mit-dem-Security-Specialist/dp/B0DGQGW8WC"
"Fake-verliebt in den Anwalt","a fake boyfriend billionaire romance (san antonio billionaires  band 9)",4.5,2049,"katrin emilia buck",950,353200,342,"No","12,99 €","1 €","104 €","https://www.amazon.de/Fake-verliebt-den-Anwalt-Billionaire-Billionaires/dp/B0CC46P3ZN"
"Rink & Romance","spicy hockey romance",4.5,1650,"katrin emilia buck",348,1604,350,"No","3,99 €","30 €","696 €","https://www.amazon.de/Rink-Romance-Spicy-Hockey-ebook/dp/B0DSG959T7"
"Suits & Surprises","ein baby für den anwalt (hearts of starlight springs 5)",4.5,556,"katrin emilia buck",117,1823,354,"No","4,99 €","33 €","770 €","https://www.amazon.de/Suits-Surprises-Anwalt-Starlight-Springs-ebook/dp/B0FPFJ1KPL"
"Eine Nanny für den Single-Dad","a single dad boss romance (san antonio billionaires  band 12)",4.5,1579,"katrin emilia buck",712,406417,336,"No","12,99 €","1 €","65 €","https://www.amazon.de/Eine-Nanny-f%C3%BCr-den-Single-Dad/dp/B0CXVBDJWJ"
"Eine folgenschwere Nacht mit dem Security-CEO","an unexpected pregnancy ceo romance (san antonio billionaires  band 11)",4.5,1816,"katrin emilia buck",768,247590,340,"No","12,99 €","1 €","169 €","https://www.amazon.de/Eine-folgenschwere-Nacht-mit-Security-CEO/dp/B0CSKFQ7YY"
"Fake Feelings","romantischer deal mit dem anwalt (hearts of starlight springs 4)",4.4,658,"katrin emilia buck",166,2750,354,"No","4,99 €","26 €","603 €","https://www.amazon.de/Fake-Feelings-Romantischer-Starlight-Springs-ebook/dp/B0FLMQV6BG"
