"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Küsten-Klatsch & (k)ein bisschen Kribbeln","ein wohlfühlroman auf sylt (die kleine villa auf sylt 2)",,,"suki bluhm",-13,34432,296,"No","2,99 €","5 €","122 €","https://www.amazon.de/K%C3%BCsten-Klatsch-ein-bisschen-Kribbeln-Wohlf%C3%BChlroman-ebook/dp/B0GMWDT7GG"
"Insel-Irrsinn & (k)ein bisschen Liebe (Die kleine Villa auf Sylt","",4.2,117,"suki bluhm",98,25627,286,"No","1,99 €","4 €","102 €","https://www.amazon.de/Insel-Irrsinn-k-ein-bisschen-Liebe-ebook/dp/B0FV7T5YT4"
"Weinberge, Liebe und Du","herzklopfen in montalcino (herzklopfen in der toskana 4)",4.2,154,"suki bluhm",189,22622,409,"No","3,99 €","9 €","217 €","https://www.amazon.de/Weinberge-Liebe-Du-Herzklopfen-Montalcino-ebook/dp/B0FJF5S6VQ"
"Liebe auf High Heels","liebesroman (willkommen in engeltal 1)",4.2,1544,"suki bluhm",2137,30671,230,"No","0,99 €","2 €","45 €","https://www.amazon.de/Liebe-auf-High-Heels-Liebesroman-ebook/dp/B0876GXTZ5"
"Liebe in Kaffeetassen (Willkommen in Engeltal 6)","",4.3,300,"suki bluhm",511,23783,419,"No","3,99 €","9 €","212 €","https://www.amazon.de/Liebe-Kaffeetassen-Willkommen-Engeltal-6-ebook/dp/B0DH4GLR9K"
"Anti-Aging für die Liebe","kleinstadt liebesroman (willkommen in engeltal 2)",4.3,950,"suki bluhm",1883,27355,237,"No","3,52 €","8 €","173 €","https://www.amazon.de/Anti-Aging-f%C3%BCr-die-Liebe-Willkommen-ebook/dp/B08QVVMMGR"
"Mandelträume, Liebe und Du","herzklopfen in pisa (herzklopfen in der toskana 3)",4.2,326,"suki bluhm",301,38916,453,"No","3,99 €","6 €","143 €","https://www.amazon.de/Mandeltr%C3%A4ume-Liebe-Du-Herzklopfen-Toskana-ebook/dp/B0F4NTDW91"
"Mohnblüten, Liebe und Du","herzklopfen in siena (herzklopfen in der toskana 2)",4,878,"suki bluhm",623,31278,407,"No","3,99 €","8 €","178 €","https://www.amazon.de/Mohnbl%C3%BCten-Liebe-Du-Herzklopfen-Toskana-ebook/dp/B0D2S5YXSY"
"Zuckerstreusel für die Liebe (Willkommen in Engeltal 7)","",4.4,270,"suki bluhm",420,42542,425,"No","3,99 €","5 €","126 €","https://www.amazon.de/Zuckerstreusel-f%C3%BCr-Liebe-Willkommen-Engeltal-ebook/dp/B0D7TWFLTS"
"Willkommen in Engeltal – Sammelband 1","vier wohlfühl liebesromane über freundschaft  liebe und neuanfänge in einer süddeutschen kleinstadt",,,"suki bluhm",67,557256,1215,"No","6,49 €","0 €","6 €","https://www.amazon.de/Willkommen-Engeltal-Wohlf%C3%BChl-Liebesromane-Freundschaft-s%C3%BCddeutschen-ebook/dp/B0G6YX7MZG"
"Küsten-Klatsch & (k)ein bisschen Kribbeln","ein wohlfühlroman auf sylt (die kleine villa auf sylt 2)",,,"suki bluhm",-13,34432,296,"No","2,99 €","5 €","122 €","https://www.amazon.de/K%C3%BCsten-Klatsch-ein-bisschen-Kribbeln-Wohlf%C3%BChlroman-ebook/dp/B0GMWDT7GG"
"Insel-Irrsinn & (k)ein bisschen Liebe (Die kleine Villa auf Sylt","",4.2,117,"suki bluhm",98,25627,286,"No","1,99 €","4 €","102 €","https://www.amazon.de/Insel-Irrsinn-k-ein-bisschen-Liebe-ebook/dp/B0FV7T5YT4"
"Weinberge, Liebe und Du","herzklopfen in montalcino (herzklopfen in der toskana 4)",4.2,154,"suki bluhm",189,22622,409,"No","3,99 €","9 €","217 €","https://www.amazon.de/Weinberge-Liebe-Du-Herzklopfen-Montalcino-ebook/dp/B0FJF5S6VQ"
"Liebe auf High Heels","liebesroman (willkommen in engeltal 1)",4.2,1544,"suki bluhm",2137,30671,230,"No","0,99 €","2 €","45 €","https://www.amazon.de/Liebe-auf-High-Heels-Liebesroman-ebook/dp/B0876GXTZ5"
"Liebe in Kaffeetassen (Willkommen in Engeltal 6)","",4.3,300,"suki bluhm",511,23783,419,"No","3,99 €","9 €","212 €","https://www.amazon.de/Liebe-Kaffeetassen-Willkommen-Engeltal-6-ebook/dp/B0DH4GLR9K"
"Mandelträume, Liebe und Du","herzklopfen in pisa (herzklopfen in der toskana 3)",4.2,326,"suki bluhm",301,38916,453,"No","3,99 €","6 €","143 €","https://www.amazon.de/Mandeltr%C3%A4ume-Liebe-Du-Herzklopfen-Toskana-ebook/dp/B0F4NTDW91"
"Anti-Aging für die Liebe","kleinstadt liebesroman (willkommen in engeltal 2)",4.3,950,"suki bluhm",1883,27355,237,"No","2,99 €","6 €","147 €","https://www.amazon.de/Anti-Aging-f%C3%BCr-die-Liebe-Willkommen-ebook/dp/B08QVVMMGR"
"Mohnblüten, Liebe und Du","herzklopfen in siena (herzklopfen in der toskana 2)",4,878,"suki bluhm",623,31278,407,"No","4,69 €","9 €","209 €","https://www.amazon.de/Mohnbl%C3%BCten-Liebe-Du-Herzklopfen-Toskana-ebook/dp/B0D2S5YXSY"
"Zuckerstreusel für die Liebe (Willkommen in Engeltal 7)","",4.4,270,"suki bluhm",420,42542,425,"No","4,69 €","6 €","148 €","https://www.amazon.de/Zuckerstreusel-f%C3%BCr-Liebe-Willkommen-Engeltal-ebook/dp/B0D7TWFLTS"
"Willkommen in Engeltal – Sammelband 1","vier wohlfühl liebesromane über freundschaft  liebe und neuanfänge in einer süddeutschen kleinstadt",,,"suki bluhm",67,557256,1215,"No","6,49 €","0 €","6 €","https://www.amazon.de/Willkommen-Engeltal-Wohlf%C3%BChl-Liebesromane-Freundschaft-s%C3%BCddeutschen-ebook/dp/B0G6YX7MZG"
"Küsten-Klatsch & (k)ein bisschen Kribbeln","ein wohlfühlroman auf sylt (die kleine villa auf sylt 2)",,,"suki bluhm",-13,34432,296,"No","2,99 €","5 €","122 €","https://www.amazon.de/K%C3%BCsten-Klatsch-ein-bisschen-Kribbeln-Wohlf%C3%BChlroman-ebook/dp/B0GMWDT7GG"
"Insel-Irrsinn & (k)ein bisschen Liebe (Die kleine Villa auf Sylt","",4.2,117,"suki bluhm",98,25627,286,"No","1,99 €","4 €","102 €","https://www.amazon.de/Insel-Irrsinn-k-ein-bisschen-Liebe-ebook/dp/B0FV7T5YT4"
