"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Promise (Rogue River Book 1) (English Edition)","",,,"l.b. dunbar",-101,"-","-","No","4,99 €","0 €","0 €","https://www.amazon.de/Promise-Rogue-River-Book-English-ebook/dp/B0GF7FV3HW"
"Sterling Stone (Sterling Falls Book 7) (English Edition)","",4.6,373,"l.b. dunbar",24,135115,401,"No","4,99 €","0 €","95 €","https://www.amazon.de/Sterling-Stone-Falls-Book-English-ebook/dp/B0F7TMK232"
"Love in Due Time","a second chance small town romance (small town silver fox book 1) (english edition)",4.1,2363,"smartypants romance",2315,640580,350,"No","4,99 €","0 €","5 €","https://www.amazon.de/Love-Green-Valley-Library-English-ebook/dp/B07VSBQFY2"
"Speak From The Heart","a small town romance (heart collection book 1) (english edition)",4.4,612,"l.b. dunbar",2026,251005,242,"No","2,99 €","0 €","39 €","https://www.amazon.de/Speak-Heart-small-romance-English-ebook/dp/B085PSCXYN"
"Elevator Pitch (Chicago Anchors Book 1) (English Edition)","",4.4,1313,"l.b. dunbar",493,293563,324,"No","4,99 €","0 €","55 €","https://www.amazon.de/Elevator-Pitch-Chicago-Anchors-English-ebook/dp/B0D617QMKQ"
"The Holiday Post","a spicy  small town, christmas romcom (english edition)",4.4,586,"l.b. dunbar",100,216397,268,"No","4,99 €","0 €","75 €","https://www.amazon.de/Holiday-Post-Small-town-Christmas-English-ebook/dp/B0FP6ZFV58"
"Sterling Heat (Sterling Falls Book 1) (English Edition)","",4.5,2446,"l.b. dunbar",885,79253,335,"No","5,88 €","0 €","9 €","https://www.amazon.de/Sterling-Heat-Falls-Book-English-ebook/dp/B0BY178SLV"
"Sterling Touch (Sterling Falls Book 6) (English Edition)","",4.6,782,"l.b. dunbar",262,269376,346,"No","4,99 €","0 €","60 €","https://www.amazon.de/Sterling-Touch-Falls-Book-English-ebook/dp/B0DQR5MKPC"
"Liebe nebenan (sexy Silberfuchs-Kollektion 5)","",4.8,63,"l.b. dunbar",654,107640,336,"No","4,99 €","0 €","100 €","https://www.amazon.de/Liebe-nebenan-sexy-Silberfuchs-Kollektion-5-ebook/dp/B0D3BXJCDW"
"Midlife Crisis","german edition (sexy silberfuchs kollektion 2)",4.6,145,"l.b.  dunbar",906,133515,350,"No","5,88 €","0 €","112 €","https://www.amazon.de/Midlife-Crisis-German-sexy-Silberfuchs-Kollektion-ebook/dp/B0CFWQVM5P"
