"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Breathless for my Boss","",4.4,550,"lana stone",32,201,514,"No","0,99 €","59 €","1.365 €","https://www.amazon.de/Breathless-my-Boss-Lana-Stone-ebook/dp/B0GDWC3JCZ"
"Vom Milliardär gekauft (Hot Guys 4)","",3.8,1764,"lana stone",2884,1548,204,"No","0 €","0 €","0 €","https://www.amazon.de/Vom-Milliard%C3%A4r-gekauft-Lana-Stone-ebook/dp/B07BVTQTQY"
"Das Geschenk","lovestory",3.2,1630,"lana stone",3348,757,34,"No","0 €","0 €","0 €","https://www.amazon.de/Das-Geschenk-Lovestory-Lana-Stone-ebook/dp/B01N5IPG4V"
"Bound by the Boss (New York Billionaires 16)","",4.4,1525,"lana stone",305,4194,683,"No","2,99 €","17 €","380 €","https://www.amazon.de/Bound-Boss-New-York-Billionaires-ebook/dp/B0F4NH6X87"
"Mr Icecolds Baby","sweet suffering   schwanger von meinem chef (new york billionaires 9)",4.4,2241,"lana stone",1294,7049,304,"No","2,99 €","8 €","183 €","https://www.amazon.de/Icecolds-Baby-Suffering-Schwanger-Billionaires-ebook/dp/B0B6CTDT3J"
"Ice Intruders","rhyan",4.6,692,"lana stone",227,3712,407,"No","0,99 €","6 €","130 €","https://www.amazon.de/Ice-Intruders-Rhyan-Baby-Defender-ebook/dp/B0FHBP9PQ9"
"DU BIST MEIN (New York Billionaires 1)","",4.2,3881,"lana stone",3092,615,536,"No","2,99 €","62 €","1.429 €","https://www.amazon.de/DU-BIST-MEIN-Unterwerfung-Billionaire-ebook/dp/B075DKHTQT"
"Ruthless Boss (New York Billionaires 12)","",4.4,1935,"lana stone",981,7292,388,"No","2,99 €","8 €","179 €","https://www.amazon.de/Ruthless-Boss-New-York-Billionaires-ebook/dp/B0C8GN987Z"
"Grumpy Boss (New York Billionaires 14)","",4.4,1606,"lana stone",489,4278,472,"No","3,53 €","19 €","446 €","https://www.amazon.de/Grumpy-Boss-New-York-Billionaires-ebook/dp/B0DKKWR4NS"
"A Dark Billionaire","ins büro  fräulein  liam knight (new york billionaires 4)",4.4,3811,"lana stone",2170,5124,539,"No","2,99 €","15 €","354 €","https://www.amazon.de/Dark-Billionaire-B%C3%BCro-Fr%C3%A4ulein-Billionaires-ebook/dp/B085FRZZVD"
"Breathless for my Boss","",4.4,550,"lana stone",32,201,514,"No","1,17 €","70 €","1.613 €","https://www.amazon.de/Breathless-my-Boss-Lana-Stone-ebook/dp/B0GDWC3JCZ"
"Vom Milliardär gekauft (Hot Guys 4)","",3.8,1764,"lana stone",2884,1548,204,"No","0 €","0 €","0 €","https://www.amazon.de/Vom-Milliard%C3%A4r-gekauft-Lana-Stone-ebook/dp/B07BVTQTQY"
"Das Geschenk","lovestory",3.2,1630,"lana stone",3348,757,34,"No","0 €","0 €","0 €","https://www.amazon.de/Das-Geschenk-Lovestory-Lana-Stone-ebook/dp/B01N5IPG4V"
"Bound by the Boss (New York Billionaires 16)","",4.4,1525,"lana stone",305,4194,683,"No","3,53 €","19 €","448 €","https://www.amazon.de/Bound-Boss-New-York-Billionaires-ebook/dp/B0F4NH6X87"
"Mr Icecolds Baby","sweet suffering   schwanger von meinem chef (new york billionaires 9)",4.4,2241,"lana stone",1294,7048,304,"No","2,99 €","8 €","183 €","https://www.amazon.de/Icecolds-Baby-Suffering-Schwanger-Billionaires-ebook/dp/B0B6CTDT3J"
"Ice Intruders","rhyan",4.6,692,"lana stone",227,3712,407,"No","1,17 €","7 €","154 €","https://www.amazon.de/Ice-Intruders-Rhyan-Baby-Defender-ebook/dp/B0FHBP9PQ9"
"DU BIST MEIN (New York Billionaires 1)","",4.2,3881,"lana stone",3092,615,536,"No","2,99 €","62 €","1.429 €","https://www.amazon.de/DU-BIST-MEIN-Unterwerfung-Billionaire-ebook/dp/B075DKHTQT"
"Ice Intruders","blake",4.4,659,"lana stone",157,3297,406,"No","0,99 €","6 €","134 €","https://www.amazon.de/Ice-Intruders-Zweite-Chance-Defender-ebook/dp/B0FRV5TM9X"
