"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Nächte mit dem CEO","",4.3,188,"layla  hagen",20,112,304,"No","1,17 €","123 €","2.831 €","https://www.amazon.de/N%C3%A4chte-mit-dem-Layla-Hagen-ebook/dp/B0GL2NGKQS"
"Im Bann des CEO","ein enemies to-lovers liebesroman (die whitley-brüder 6)",4.3,335,"layla hagen",58,444,334,"No","1,17 €","40 €","928 €","https://www.amazon.de/Bann-CEO-Enemies-Lovers-Whitley-Br%C3%BCder-ebook/dp/B0GCPQ8CH4"
"Küss den CEO (Die Whitley-Brüder 2)","",4.4,515,"layla hagen",222,370,288,"No","1,17 €","47 €","1.087 €","https://www.amazon.de/K%C3%BCss-den-CEO-Die-Whitley-Br%C3%BCder-ebook/dp/B0FHJQYQNQ"
"Vom CEO begehrt (Die Whitley-Brüder 5)","",4.3,478,"layla  hagen",127,435,294,"No","1,17 €","41 €","947 €","https://www.amazon.de/Vom-CEO-begehrt-Die-Whitley-Br%C3%BCder-ebook/dp/B0FNCZYSVD"
"Den CEO gebändigt","ein enemies to lovers liebesroman (die whitley brüder 4)",4.4,389,"layla hagen",174,482,278,"No","1,17 €","37 €","846 €","https://www.amazon.de/Den-CEO-geb%C3%A4ndigt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FJFWM6BN"
"Den CEO Verführt","ein grumpy x sunshine liebesroman (die whitley brüder 1)",4.4,840,"layla hagen",222,211,326,"No","0,99 €","59 €","1.350 €","https://www.amazon.de/Den-CEO-Verf%C3%BChrt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FHKM1F9T"
"Flirten mit dem CEO","ein single dad liebesroman (die whitley brüder 3)",4.4,641,"layla hagen",212,466,302,"No","1,17 €","38 €","881 €","https://www.amazon.de/Flirten-mit-dem-CEO-Whitley-Br%C3%BCder-ebook/dp/B0FHJMGSXT"
"Wenn aus Versuchung Liebe wird","this touch is forever (the maxwells)",4.3,707,"layla hagen",307,953,313,"No","0,99 €","13 €","306 €","https://www.amazon.de/Wenn-aus-Versuchung-Liebe-wird-ebook/dp/B0F5MH1LJ3"
"Das Verlangen Endet Nie","this desire is forever (the maxwells)",4.3,443,"layla hagen",335,3149,306,"No","0,99 €","6 €","135 €","https://www.amazon.de/Das-Verlangen-Endet-Nie-Maxwells-ebook/dp/B0F29Z72VY"
"This Love is Forever (The Maxwells 1)","roman | prickelnder romance reihenauftakt über einen ceo zum verlieben von der bestsellerautorin",4.2,271,"layla hagen",878,27459,353,"No","9,99 €","2 €","42 €","https://www.amazon.de/This-Love-Forever-Maxwells-Roman-ebook/dp/B0C1P8WN29"
