"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Unperfect – Liebe wider Willen","ein workplace liebesroman (wenn liebe schmerzt 1)",4.6,576,"susie tate",19,14,424,"No","4,99 €","2.894 €","66.567 €","https://www.amazon.de/Unperfect-Liebe-Willen-Workplace-Liebesroman-schmerzt-ebook/dp/B0GF8L3TQY"
"Unworthy – Sehnsucht nach dir","ein grumpy meets-sunshine-liebesroman",,,"susie tate",-43,2443,350,"No","4,99 €","42 €","961 €","https://www.amazon.de/Unworthy-Sehnsucht-nach-dir-Grumpy-meets-Sunshine-Liebesroman-ebook/dp/B0GF9Q2K8D"
"Unwanted – Verbotenes Verlangen","ein enemies to-lovers-liebesroman",,,"susie tate",-99,7297,340,"No","4,99 €","13 €","298 €","https://www.amazon.de/Unwanted-Verbotenes-Verlangen-Enemies-Lovers-Liebesroman-ebook/dp/B0GFPNCBN6"
"Unperfect (English Edition)","",4.4,22574,"susie  tate",1601,2566,364,"No","4,27 €","35 €","814 €","https://www.amazon.de/Unperfect-English-Susie-Tate-ebook/dp/B09DMZ81BC"
"Law Maker (English Edition)","",,,"susie tate",-1,50353,374,"No","4,99 €","1 €","11 €","https://www.amazon.de/Maker-Aristocrats-London-Book-English-ebook/dp/B0FJCDSJDT"
"Outlier (English Edition)","",4.6,12694,"susie tate",194,7943,331,"No","4,27 €","10 €","241 €","https://www.amazon.de/Outlier-English-Susie-Tate-ebook/dp/B0DJFJ6JTT"
"Gold Digger (English Edition)","",4.5,19270,"susie tate",493,13165,344,"No","4,26 €","2 €","37 €","https://www.amazon.de/Gold-Digger-English-Susie-Tate-ebook/dp/B0CXL8KPHG"
"Unworthy (Unperfect Book 2) (English Edition)","",4.4,11673,"susie tate",1204,3404,302,"No","4,29 €","25 €","576 €","https://www.amazon.de/Unworthy-English-Susie-Tate-ebook/dp/B0BLM8K2DR"
"Daydreamer (English Edition)","",4.4,21434,"susie tate",605,12440,318,"No","4,32 €","2 €","40 €","https://www.amazon.de/Daydreamer-English-Susie-Tate-ebook/dp/B0D644VWTD"
"Unwanted (Unperfect Book 3) (English Edition)","",4.4,7468,"susie tate",880,3659,290,"No","4,7 €","27 €","620 €","https://www.amazon.de/Unwanted-English-Susie-Tate-ebook/dp/B0CF9KH2RQ"
"Unworthy – Sehnsucht nach dir","ein grumpy meets-sunshine-liebesroman",,,"susie tate",-43,2443,350,"No","4,99 €","42 €","961 €","https://www.amazon.de/Unworthy-Sehnsucht-nach-dir-Grumpy-meets-Sunshine-Liebesroman-ebook/dp/B0GF9Q2K8D"
"Unwanted – Verbotenes Verlangen","ein enemies to-lovers-liebesroman",,,"susie tate",-99,7297,340,"No","4,99 €","13 €","298 €","https://www.amazon.de/Unwanted-Verbotenes-Verlangen-Enemies-Lovers-Liebesroman-ebook/dp/B0GFPNCBN6"
"Unperfect (English Edition)","",4.4,22574,"susie  tate",1601,2566,364,"No","4,27 €","35 €","814 €","https://www.amazon.de/Unperfect-English-Susie-Tate-ebook/dp/B09DMZ81BC"
"Outlier (English Edition)","",4.6,12694,"susie tate",194,7943,331,"No","4,27 €","10 €","241 €","https://www.amazon.de/Outlier-English-Susie-Tate-ebook/dp/B0DJFJ6JTT"
