"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"O Lado Sombrio do CEO","um romance de bilionário  grumpy x sunshine e proximidade forçada. (portuguese edition)",,,"maya   valente",5,4367,206,"Yes","0 €","0 €","0 €","https://www.amazon.de/Lado-Sombrio-CEO-Bilion%C3%A1rio-Proximidade-ebook/dp/B0GNRZHGLX"
"Den CEO Verführt","ein grumpy x sunshine liebesroman (die whitley brüder 1)",4.4,840,"layla hagen",222,211,326,"Yes","0,99 €","59 €","1.350 €","https://www.amazon.de/Den-CEO-Verf%C3%BChrt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FHKM1F9T"
"The Fine Print","the grumpy x sunshine tiktok sensation  meet the dreamland billionaires... (english edition)",4.2,76113,"lauren asher",1528,31342,450,"Yes","0,99 €","0 €","4 €","https://www.amazon.de/Fine-Print-sensation-Dreamland-Billionaires-ebook/dp/B09N97FKFJ"
"Begegnung um Mitternacht","eine grumpy x-sunshine-romanze mit erzwungener nähe in der notaufnahme (romantik am arbeitsplatz)",3.5,2,"alia smith",100,45889,302,"No","5,99 €","1 €","15 €","https://www.amazon.de/Begegnung-Mitternacht-Grumpy-x-Sunshine-Romanze-erzwungener-Arbeitsplatz-ebook/dp/B0G27XG464"
"Truly Madly Deeply","a grumpy x sunshine romance (forbidden love book 1) (english edition)",4.3,31643,"l.j. shen",530,9621,514,"Yes","5,41 €","11 €","259 €","https://www.amazon.de/Truly-Madly-Deeply-Enemies-Lovers-ebook/dp/B0CV2Y8CQC"
"The Right Move","roman   tiktok made me buy it",4.7,1895,"liz tomforde",585,1840,561,"Yes","12,99 €","114 €","2.621 €","https://www.amazon.de/Right-Move-Romance-Sunshine-City-Reihe-ebook/dp/B0CMJ7FQMC"
"Ice Ice Bookie","a pucking haters to lovers story (spicy eishockey romance mit grumpy x sunshine und einer bücherliebhaberin)",,,"anny thorn",-17,11929,"-","Yes","5,88 €","2 €","57 €","https://www.amazon.de/Ice-Bookie-Eishockey-Romance-Sunshine-B%C3%BCcherliebhaberin-ebook/dp/B0FDH84F7Q"
"Drunk on your love | Eine spicy Sunshine x Grumpy","ich hab nie nach jemandem wie dir gesucht – doch du bist alles  was ich brauche (rainbow cove lovestories 4)",4.5,127,"annabeth albert",227,58589,376,"No","5,99 €","1 €","12 €","https://www.amazon.de/Drunk-spicy-Sunshine-Grumpy-Romance-ebook/dp/B0FCR4HTKG"
"Chicago Ruthless (Band 3) - Hopeful","heiße grumpy x sunshine dark mafia romance zwischen macht  verlust und begierde - ab 18 jahren",4.5,41,"sadie kincaid",38,7156,501,"Yes","14,14 €","37 €","856 €","https://www.amazon.de/Chicago-Ruthless-Band-Sunshine-Mafia-Romance-ebook/dp/B0FTSCT125"
"Hold me in Summer. Eine berry kissed Romance","roman | spiegel bestsellerautorin | grumpy x sunshine trifft auf kleinstadtidylle (dream harbor 4)",,,"laurie gilmore",-1,9173,385,"Yes","10,99 €","24 €","552 €","https://www.amazon.de/Summer-berry-kissed-Romance-SPIEGEL-Bestsellerautorin-ebook/dp/B0FLDNRXC4"
