"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"PLAY WITH ME, SIR","eine haters to-lovers-romance mit viel spice (dear sir)",4.2,167,"mary s. fox",267,11125,302,"No","2,99 €","1 €","31 €","https://www.amazon.de/PLAY-ME-SIR-Haters-Lovers-Romance-ebook/dp/B0DLL3PS6V"
"Spätsommerliebe in Carolina Creek (The Merry Men Weddingplanner 9)","",4.5,1191,"julia stirling",486,12986,300,"No","4,7 €","2 €","42 €","https://www.amazon.de/Sp%C3%A4tsommerliebe-Carolina-Creek-Merry-Weddingplanner-ebook/dp/B0DJD1XBQD"
"Ein Sommer in der Toskana","eine zerbrochene verlobung. eine spontane flucht nach italien. eine liebe  die alles verändert. (villa amore 1)",3.9,76,"sebastian schneider",204,31196,80,"No","1,99 €","0 €","7 €","https://www.amazon.de/Ein-Sommer-Toskana-zerbrochene-Verlobung-ebook/dp/B0FL11K3BZ"
"Her New Romance Later in Life","she saw a second chance  (second chance romance) (english edition)",5,2,"anna hart",62,"-",35,"No","0,89 €","0 €","0 €","https://www.amazon.de/Her-New-Romance-Later-Life-ebook/dp/B0GBZRK5DQ"
"Christmas Sparkle","eingeschneit in den rocky mountains (winterliebe   weihnachtsromane mit happy end 4)",4.5,163,"lita harris",65,3992,222,"No","3,53 €","20 €","455 €","https://www.amazon.de/Christmas-Sparkle-Eingeschneit-Mountains-Weihnachtsromane-ebook/dp/B0DPL8NQTY"
"Twins with Daddy's Bestie","an office romance (the boss daddy series (german edition))",4,128,"clara dunn",207,17806,241,"No","0,99 €","0 €","6 €","https://www.amazon.de/Twins-Daddys-Bestie-Office-Romance-ebook/dp/B0FKNHD4SD"
"Der perfekte Tag mit dir","ein feel good-liebesroman mit landleben-flair (die perfekt-reihe 2)",4.2,256,"janka  friedrich",178,16859,254,"No","3,99 €","1 €","27 €","https://www.amazon.de/perfekte-Tag-Feel-Good-Liebesroman-Landleben-Flair-Perfekt-Reihe-ebook/dp/B0FH5GPB4S"
"Our Desired Secret","ein enemies to lovers liebesroman (das spiel der milliardäre 3)",4.3,914,"anna may",386,2959,225,"No","2,99 €","24 €","552 €","https://www.amazon.de/Our-Desired-Secret-Enemies-Liebesroman-ebook/dp/B0DNTJC6Y9"
"Zweite Chance in der Liebe (sexy Silberfuchs-Kollektion 4)","",4.7,73,"l.b. dunbar",724,156586,374,"No","4,99 €","0 €","90 €","https://www.amazon.de/Zweite-Chance-Liebe-sexy-Silberfuchs-Kollektion-ebook/dp/B0CVFD7BLY"
"Für immer ans Meer - Küstenträume in Cornwall","",4.3,898,"cornelia engel",662,15424,110,"No","2,99 €","1 €","22 €","https://www.amazon.de/F%C3%BCr-immer-ans-Meer-K%C3%BCstentr%C3%A4ume-ebook/dp/B0CV4H59TT"
"PLAY WITH ME, SIR","eine haters to-lovers-romance mit viel spice (dear sir)",4.2,167,"mary s. fox",267,11125,302,"No","2,99 €","1 €","31 €","https://www.amazon.de/PLAY-ME-SIR-Haters-Lovers-Romance-ebook/dp/B0DLL3PS6V"
"Spätsommerliebe in Carolina Creek (The Merry Men Weddingplanner 9)","",4.5,1191,"julia stirling",486,12986,300,"No","3,99 €","2 €","35 €","https://www.amazon.de/Sp%C3%A4tsommerliebe-Carolina-Creek-Merry-Weddingplanner-ebook/dp/B0DJD1XBQD"
"Ein Sommer in der Toskana","eine zerbrochene verlobung. eine spontane flucht nach italien. eine liebe  die alles verändert. (villa amore 1)",3.9,76,"sebastian schneider",204,31196,80,"No","1,99 €","0 €","7 €","https://www.amazon.de/Ein-Sommer-Toskana-zerbrochene-Verlobung-ebook/dp/B0FL11K3BZ"
"Her New Romance Later in Life","she saw a second chance  (second chance romance) (english edition)",5,2,"anna hart",62,"-",35,"No","0,89 €","0 €","0 €","https://www.amazon.de/Her-New-Romance-Later-Life-ebook/dp/B0GBZRK5DQ"
"Christmas Sparkle","eingeschneit in den rocky mountains (winterliebe   weihnachtsromane mit happy end 4)",4.5,163,"lita harris",65,3992,222,"No","2,99 €","17 €","385 €","https://www.amazon.de/Christmas-Sparkle-Eingeschneit-Mountains-Weihnachtsromane-ebook/dp/B0DPL8NQTY"
"Twins with Daddy's Bestie","an office romance (the boss daddy series (german edition))",4,128,"clara dunn",207,17806,241,"No","0,99 €","0 €","6 €","https://www.amazon.de/Twins-Daddys-Bestie-Office-Romance-ebook/dp/B0FKNHD4SD"
"Der perfekte Tag mit dir","ein feel good-liebesroman mit landleben-flair (die perfekt-reihe 2)",4.2,256,"janka  friedrich",178,16859,254,"No","3,99 €","1 €","27 €","https://www.amazon.de/perfekte-Tag-Feel-Good-Liebesroman-Landleben-Flair-Perfekt-Reihe-ebook/dp/B0FH5GPB4S"
"Our Desired Secret","ein enemies to lovers liebesroman (das spiel der milliardäre 3)",4.3,914,"anna may",386,2959,225,"No","2,99 €","24 €","552 €","https://www.amazon.de/Our-Desired-Secret-Enemies-Liebesroman-ebook/dp/B0DNTJC6Y9"
"Zweite Chance in der Liebe (sexy Silberfuchs-Kollektion 4)","",4.7,73,"l.b. dunbar",724,156586,374,"No","4,99 €","0 €","90 €","https://www.amazon.de/Zweite-Chance-Liebe-sexy-Silberfuchs-Kollektion-ebook/dp/B0CVFD7BLY"
"Für immer ans Meer - Küstenträume in Cornwall","",4.3,898,"cornelia engel",662,15424,110,"No","2,99 €","1 €","22 €","https://www.amazon.de/F%C3%BCr-immer-ans-Meer-K%C3%BCstentr%C3%A4ume-ebook/dp/B0CV4H59TT"
"PLAY WITH ME, SIR","eine haters to-lovers-romance mit viel spice (dear sir)",4.2,167,"mary s. fox",267,11125,302,"No","3,53 €","2 €","36 €","https://www.amazon.de/PLAY-ME-SIR-Haters-Lovers-Romance-ebook/dp/B0DLL3PS6V"
"Spätsommerliebe in Carolina Creek (The Merry Men Weddingplanner 9)","",4.5,1191,"julia stirling",486,12986,300,"No","3,99 €","2 €","35 €","https://www.amazon.de/Sp%C3%A4tsommerliebe-Carolina-Creek-Merry-Weddingplanner-ebook/dp/B0DJD1XBQD"
"Ein Sommer in der Toskana","eine zerbrochene verlobung. eine spontane flucht nach italien. eine liebe  die alles verändert. (villa amore 1)",3.9,76,"sebastian schneider",204,31196,80,"No","2,35 €","0 €","9 €","https://www.amazon.de/Ein-Sommer-Toskana-zerbrochene-Verlobung-ebook/dp/B0FL11K3BZ"
"Her New Romance Later in Life","she saw a second chance  (second chance romance) (english edition)",5,2,"anna hart",62,"-",35,"No","0,89 €","0 €","0 €","https://www.amazon.de/Her-New-Romance-Later-Life-ebook/dp/B0GBZRK5DQ"
"Christmas Sparkle","eingeschneit in den rocky mountains (winterliebe   weihnachtsromane mit happy end 4)",4.5,163,"lita harris",65,3992,222,"No","2,99 €","17 €","385 €","https://www.amazon.de/Christmas-Sparkle-Eingeschneit-Mountains-Weihnachtsromane-ebook/dp/B0DPL8NQTY"
"Twins with Daddy's Bestie","an office romance (the boss daddy series (german edition))",4,128,"clara dunn",207,17806,241,"No","0,99 €","0 €","6 €","https://www.amazon.de/Twins-Daddys-Bestie-Office-Romance-ebook/dp/B0FKNHD4SD"
"Der perfekte Tag mit dir","ein feel good-liebesroman mit landleben-flair (die perfekt-reihe 2)",4.2,256,"janka  friedrich",178,16859,254,"No","4,7 €","1 €","32 €","https://www.amazon.de/perfekte-Tag-Feel-Good-Liebesroman-Landleben-Flair-Perfekt-Reihe-ebook/dp/B0FH5GPB4S"
"Our Desired Secret","ein enemies to lovers liebesroman (das spiel der milliardäre 3)",4.3,914,"anna may",386,2959,225,"No","3,53 €","28 €","652 €","https://www.amazon.de/Our-Desired-Secret-Enemies-Liebesroman-ebook/dp/B0DNTJC6Y9"
"Zweite Chance in der Liebe (sexy Silberfuchs-Kollektion 4)","",4.7,73,"l.b. dunbar",724,156586,374,"No","4,99 €","0 €","90 €","https://www.amazon.de/Zweite-Chance-Liebe-sexy-Silberfuchs-Kollektion-ebook/dp/B0CVFD7BLY"
"Neuanfang in Dolphin Bay","ein irland liebesroman (dolphin bay 1)",4.3,727,"helena sanfort",2215,188472,360,"No","0,99 €","0 €","16 €","https://www.amazon.de/Neuanfang-Dolphin-Bay-Ein-Irland-Liebesroman-ebook/dp/B084D4GM76"
"PLAY WITH ME, SIR","eine haters to-lovers-romance mit viel spice (dear sir)",4.2,167,"mary s. fox",267,11125,302,"No","2,99 €","1 €","31 €","https://www.amazon.de/PLAY-ME-SIR-Haters-Lovers-Romance-ebook/dp/B0DLL3PS6V"
"Spätsommerliebe in Carolina Creek (The Merry Men Weddingplanner 9)","",4.5,1191,"julia stirling",486,12986,300,"No","4,7 €","2 €","42 €","https://www.amazon.de/Sp%C3%A4tsommerliebe-Carolina-Creek-Merry-Weddingplanner-ebook/dp/B0DJD1XBQD"
"Ein Sommer in der Toskana","eine zerbrochene verlobung. eine spontane flucht nach italien. eine liebe  die alles verändert. (villa amore 1)",3.9,76,"sebastian schneider",204,31196,80,"No","1,99 €","0 €","7 €","https://www.amazon.de/Ein-Sommer-Toskana-zerbrochene-Verlobung-ebook/dp/B0FL11K3BZ"
"Her New Romance Later in Life","she saw a second chance  (second chance romance) (english edition)",5,2,"anna hart",62,"-",35,"No","0,89 €","0 €","0 €","https://www.amazon.de/Her-New-Romance-Later-Life-ebook/dp/B0GBZRK5DQ"
"Christmas Sparkle","eingeschneit in den rocky mountains (winterliebe   weihnachtsromane mit happy end 4)",4.5,163,"lita harris",65,3992,222,"No","2,99 €","17 €","385 €","https://www.amazon.de/Christmas-Sparkle-Eingeschneit-Mountains-Weihnachtsromane-ebook/dp/B0DPL8NQTY"
"Twins with Daddy's Bestie","an office romance (the boss daddy series (german edition))",4,128,"clara dunn",207,17806,241,"No","1,17 €","0 €","8 €","https://www.amazon.de/Twins-Daddys-Bestie-Office-Romance-ebook/dp/B0FKNHD4SD"
"Der perfekte Tag mit dir","ein feel good-liebesroman mit landleben-flair (die perfekt-reihe 2)",4.2,256,"janka  friedrich",178,16859,254,"No","4,7 €","1 €","32 €","https://www.amazon.de/perfekte-Tag-Feel-Good-Liebesroman-Landleben-Flair-Perfekt-Reihe-ebook/dp/B0FH5GPB4S"
"Our Desired Secret","ein enemies to lovers liebesroman (das spiel der milliardäre 3)",4.3,914,"anna may",386,2959,225,"No","3,53 €","28 €","652 €","https://www.amazon.de/Our-Desired-Secret-Enemies-Liebesroman-ebook/dp/B0DNTJC6Y9"
"Zweite Chance in der Liebe (sexy Silberfuchs-Kollektion 4)","",4.7,73,"l.b. dunbar",724,156586,374,"No","4,99 €","0 €","90 €","https://www.amazon.de/Zweite-Chance-Liebe-sexy-Silberfuchs-Kollektion-ebook/dp/B0CVFD7BLY"
"Für immer ans Meer - Küstenträume in Cornwall","",4.3,898,"cornelia engel",662,15424,110,"No","2,99 €","1 €","22 €","https://www.amazon.de/F%C3%BCr-immer-ans-Meer-K%C3%BCstentr%C3%A4ume-ebook/dp/B0CV4H59TT"
