"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Love Me Wild – Mit jedem deiner Worte","",4.6,156,"melanie lane",251,21,545,"No","12,99 €","4.659 €","107.159 €","https://www.amazon.de/Love-Me-Wild-jedem-deiner-ebook/dp/B0DJT6B23G"
"Wild Dreams","jetzt und für immer",4.5,173,"melanie lane",938,4724,465,"No","11,76 €","62 €","1.436 €","https://www.amazon.de/Wild-Dreams-Jetzt-f%C3%BCr-immer-ebook/dp/B0C2VKCHP4"
"Herzklopfen auf Texel","anne   jannes   welkom op texel (4)",3.9,364,"melanie  frey",271,30166,178,"No","0,99 €","0 €","4 €","https://www.amazon.de/Herzklopfen-auf-Texel-Jannes-Welkom-ebook/dp/B0FBH4XWG7"
"Liebe mich ein letztes Mal, Mr. CEO","a second chance boss romance",4.4,23,"melanie thorn",141,211090,184,"No","3,99 €","0 €","60 €","https://www.amazon.de/Liebe-mich-ein-letztes-Mal-ebook/dp/B0FTV7NYNX"
"Mistletowed","making the holidays naughty (english edition)",4.1,65,"tara lain",4462,"-",93,"No","1,78 €","0 €","0 €","https://www.amazon.de/Mistletowed-English-Tara-Lain-ebook/dp/B00H6TI3F2"
"A Very Melanie Halloween (English Edition)","",4.5,11,"melanie brown",492,603827,223,"No","3,21 €","0 €","3 €","https://www.amazon.de/Very-Melanie-Halloween-English-ebook/dp/B0DKG3CZBY"
"La jolie vie de Mélanie (French Edition)","",3.9,447,"virginie paquier",3585,576886,296,"No","4,7 €","0 €","5 €","https://www.amazon.de/jolie-vie-M%C3%A9lanie-French-ebook/dp/B01F0UE190"
"Changing Roles","a celebrity opposites attract romance (english edition)",4.6,965,"melanie moreland",2175,460256,320,"No","5,47 €","0 €","27 €","https://www.amazon.de/Changing-Roles-English-Melanie-Moreland-ebook/dp/B083TM4YLL"
"Kastanienherzen","",4.8,73,"melanie macherey",2285,576150,128,"No","1,17 €","0 €","1 €","https://www.amazon.de/Kastanienherzen-Melanie-Macherey-ebook/dp/B07ZS4F2WW"
"The Melancholy Virgin (Earl of Moriston Mystery Book 2) (English","",4.1,170,"annabel laine",3408,1036934,251,"No","3,99 €","0 €","4 €","https://www.amazon.de/Melancholy-Virgin-Moriston-Mystery-English-ebook/dp/B01M3VD22K"
