"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Die Liebe, später","ein lebenskluger roman über eine ehe im umbruch  zweite chancen und selbstfindung",4.2,111,"gisa klönne",26,7507,307,"No","19,99 €","51 €","1.174 €","https://www.amazon.de/Die-Liebe-sp%C3%A4ter-lebenskluger-Selbstfindung-ebook/dp/B0FJHQJZBJ"
"Acht Wochen Später","ein roman",4.2,711,"g.t. london",326,10351,438,"No","4,99 €","2 €","55 €","https://www.amazon.de/Acht-Wochen-Sp%C3%A4ter-Ein-Roman-ebook/dp/B0F3FGBXFH"
"Ein paar Leben später","roman",4.3,217,"robert palfrader",738,56973,162,"No","16,99 €","1 €","34 €","https://www.amazon.de/Ein-paar-Leben-sp%C3%A4ter-Roman-ebook/dp/B0CV4D28R7"
"Ein Leben später","roman | ein roman über die reise einer frau aus der dunkelheit ins licht  über liebe, widerstandskraft und die kunst des neuanfangs",4.2,54,"annette hohberg",296,95048,305,"No","14,99 €","1 €","18 €","https://www.amazon.de/Ein-Leben-sp%C3%A4ter-Dunkelheit-Widerstandskraft-ebook/dp/B0DLJF61ZB"
"Zwischen uns ein ganzes Leben","roman",4.4,1621,"melanie levensohn",2797,4112,417,"No","3,99 €","22 €","510 €","https://www.amazon.de/Zwischen-uns-ein-ganzes-Leben-ebook/dp/B07CLF18R1"
"A Christmas for Chrissie","eine später im-leben-romanze (love will out-reihe 5)",4.9,10,"d.e. haggerty",197,135391,307,"No","4,99 €","0 €","95 €","https://www.amazon.de/Christmas-Chrissie-eine-Sp%C3%A4ter-im-Leben-Romanze-OUT-Reihe-ebook/dp/B0FLWFS89B"
"A Love for Lexi","eine später im-leben-romanze (love will out-reihe 7)",4.8,8,"d.e. haggerty",196,38898,313,"No","4,99 €","1 €","15 €","https://www.amazon.de/Love-Lexi-eine-Sp%C3%A4ter-im-Leben-Romanze-OUT-Reihe-ebook/dp/B0FLXW8VS9"
"A Valentine for Valerie","eine später im-leben-romanze (love will out-reihe 6)",4.7,8,"d.e. haggerty",197,49958,307,"No","4,99 €","1 €","11 €","https://www.amazon.de/Valentine-Valerie-eine-Sp%C3%A4ter-im-Leben-Romanze-OUT-Reihe-ebook/dp/B0FLWGFTJF"
"Endlich Mein","eine romanze im späteren leben (endlich serie 2)",4.4,16,"elena aitken",446,275089,260,"No","4,99 €","0 €","60 €","https://www.amazon.de/Endlich-Mein-Romanze-sp%C3%A4teren-Leben-ebook/dp/B0DPJ9NJJJ"
"Späte Liebe","eine zweite chance liebesroman (burger wine estate serie german edition 1)",4.1,13,"nina potter",612,140304,54,"No","0,99 €","0 €","18 €","https://www.amazon.de/Sp%C3%A4te-Liebe-Second-Chance-Romanze-ebook/dp/B0D7QNNDHW"
"Die Liebe, später","ein lebenskluger roman über eine ehe im umbruch  zweite chancen und selbstfindung",4.2,111,"gisa klönne",26,7507,307,"No","23,57 €","60 €","1.385 €","https://www.amazon.de/Die-Liebe-sp%C3%A4ter-lebenskluger-Selbstfindung-ebook/dp/B0FJHQJZBJ"
"Acht Wochen Später","ein roman",4.2,711,"g.t. london",326,10351,438,"No","4,99 €","2 €","55 €","https://www.amazon.de/Acht-Wochen-Sp%C3%A4ter-Ein-Roman-ebook/dp/B0F3FGBXFH"
"Ein paar Leben später","roman",4.3,217,"robert palfrader",738,56973,162,"No","16,99 €","1 €","34 €","https://www.amazon.de/Ein-paar-Leben-sp%C3%A4ter-Roman-ebook/dp/B0CV4D28R7"
