"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"eifel roman frauen","385","192","16 €","166 €","<50","Red",1,"Green"
"romane aus der eifel","305","1.000","13 €","117 €","<50","Red",20,"Green"
"historischer roman eifel","417","491","15 €","119 €","<50","Red",13,"Green"
"historische romane eifel","336","479","15 €","137 €","128","Red",16,"Green"
"roman frauen sylt","355","647","13 €","277 €","<50","Red",13,"Green"
"frauenroman sylt","322","281","13 €","221 €","<50","Red",1,"Green"
"unabhängige frauen roman","334","566","17 €","649 €","1.336","Yellow",13,"Green"
"winterroman frauen","346","727","11 €","10 €","455","Red",62,"Yellow"
"frauenroman ebok","364","10.000","4 €","644 €","657","Red",69,"Yellow"
"verheiratete frauen roman","421","471","14 €","4.690 €","541","Yellow",65,"Yellow"
"roman ostsee frauen","349","1.000","12 €","165 €","<50","Red",20,"Green"
"frauenromane sylt","318","358","13 €","368 €","50","Red",16,"Green"
"fiktionaler frauenroman","247","10","16 €","81 €","<50","Red",3,"Green"
"frauenroman ostsee","375","470","14 €","241 €","61","Red",29,"Green"
"frauenroman","339","20.000","9 €","993 €","335","Red",50,"Yellow"
"roman sommer frauen","422","4.000","12 €","1.073 €","427","Yellow",61,"Yellow"
"historischer roman westfalen","492","466","15 €","177 €","<50","Red",1,"Green"
"frauenroman südfrankreich","278","137","19 €","195 €","<50","Red",1,"Green"
"frauenromane frankreich","380","574","12 €","1.922 €","<50","Red",18,"Green"
"frauenroman urlaub","377","1.000","11 €","1.388 €","155","Red",58,"Yellow"
