"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"liebesroman eifel","351","272","14 €","199 €","<50","Red",1,"Green"
"liebesroman pfalz","256","90","11 €","19 €","<50","Red",1,"Green"
"liebesroman frankfurt","267","1.000","10 €","55 €","<50","Red",20,"Green"
"sapphischer liebesroman","277","1.000","8 €","57 €","<50","Red",13,"Green"
"liebesroman cornwall","295","3.000","7 €","166 €","129","Red",35,"Green"
"werewolf liebesroman","326","50.000","6 €","127 €","179","Red",25,"Green"
"liebesroman köln","331","10.000","13 €","144 €","<50","Red",20,"Green"
"liebesroman adel","264","5.000","8 €","48 €","<50","Red",20,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"liebesroman österreich","290","1.000","12 €","545 €","397","Red",1,"Green"
"cornwall liebesroman","318","3.000","9 €","288 €","208","Red",4,"Green"
"schloss liebesroman","354","2.000","6 €","181 €","<50","Red",33,"Green"
"ostfriesland liebesroman","334","250","13 €","235 €","<50","Red",18,"Green"
"liebesroman elba","248","88","12 €","18 €","<50","Red",1,"Green"
"liebesroman in österreich","252","229","8 €","21 €","<50","Red",11,"Green"
"liebesroman","440","80.000","13 €","2.968 €","973","Red",61,"Yellow"
