"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"liebesroman tirol","208","273","10 €","196 €","<50","Red",1,"Green"
"liebesromane tirol","209","255","11 €","50 €","<50","Red",1,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"verliebte ferien in tirol","148","10","3 €","N/A","<50","Red",10,"Green"
"liebesroman aus südtirol","304","153","11 €","173 €","<50","Red",20,"Green"
"verliebte ferien tirol","N/A","N/A","N/A","N/A","N/A","","N/A",""
"liebesromane deutsch sizilien","345","246","11 €","133 €","<50","Red",1,"Green"
"italien liebesroman deutsch","307","2.000","6 €","408 €","191","Red",45,"Yellow"
"liebesromane deutsch italiener","305","2.000","7 €","1.386 €","771","Yellow",27,"Green"
"italienischer liebesroman","322","50.000","13 €","159 €","90","Red",13,"Green"
"liebesroman österreich","290","1.000","12 €","545 €","397","Red",1,"Green"
"liebesroman deutsch","384","90.000","8 €","2.152 €","1.518","Red",65,"Yellow"
"deutsch liebesroman","291","70.000","N/A","N/A","1.122","Red",65,"Yellow"
"italienische liebesromane deutsch","304","2.000","11 €","22 €","<50","Red",54,"Yellow"
"liebesroman deutsch skifahren","278","52","14 €","110 €","<50","Red",13,"Green"
"liebesroman teneriffa","264","126","11 €","28 €","<50","Red",1,"Green"
"toskana liebesromane deutsch","203","514","4 €","230 €","474","Yellow",41,"Yellow"
"liebesroman in österreich","252","229","8 €","21 €","<50","Red",11,"Green"
