"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"tirol roman frauen","245","120","15 €","81 €","<50","Red",1,"Green"
"romane tirol","243","2.000","17 €","85 €","<50","Red",20,"Green"
"roman tirol","288","1.000","16 €","247 €","<50","Red",17,"Green"
"liebesromane tirol","209","255","11 €","75 €","<50","Red",1,"Green"
"liebesroman tirol","208","273","9 €","225 €","<50","Red",1,"Green"
"roman frauen sylt","355","647","13 €","277 €","<50","Red",13,"Green"
"roman ostsee frauen","349","1.000","12 €","165 €","<50","Red",20,"Green"
"historische romane tirol","529","321","12 €","30 €","<50","Red",1,"Green"
"frauenromane sylt","318","358","13 €","368 €","50","Red",16,"Green"
"frauenromane","367","20.000","8 €","702 €","415","Red",24,"Green"
"roman frauen island","302","1.000","13 €","223 €","<50","Red",40,"Green"
"mythologie roman weiblich","305","120","18 €","199 €","<50","Red",11,"Green"
"schicksalsromane frauen","455","2.000","13 €","7 €","233","Red",60,"Yellow"
"winter roman frauen","434","3.000","13 €","258 €","<50","Red",33,"Green"
"frauenroman toskana","331","288","14 €","177 €","<50","Red",20,"Green"
"winterromane frauen","428","1.000","12 €","73 €","<50","Red",20,"Green"
"romane frauen urlaub","338","5.000","12 €","847 €","253","Yellow",85,"Red"
"steiermark roman","319","932","22 €","92 €","<50","Red",1,"Green"
"nordsee roman frauen","310","1.000","12 €","512 €","<50","Red",40,"Green"
"romane südtirol","326","1.000","13 €","159 €","<50","Red",15,"Green"
"roman single frauen","325","5.000","11 €","286 €","<50","Red",59,"Yellow"
"roman weiblicher seal deutsch","363","44","5 €","380 €","526","Green",65,"Yellow"
"roman frauen urlaub","364","5.000","13 €","847 €","253","Yellow",85,"Red"
