"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"zillertal liebesroman","174","18","3 €","5 €","<50","Red",1,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"liebesroman aus südtirol","304","153","11 €","173 €","<50","Red",20,"Green"
"sapphischer liebesroman","277","1.000","8 €","57 €","<50","Red",13,"Green"
"liebesroman von deutschen autoren","312","6.000","15 €","166 €","176","Red",1,"Green"
"zarter liebesroman","285","1.000","11 €","107 €","<50","Red",33,"Green"
"sylt liebesroman deutsch","253","811","9 €","386 €","59","Red",21,"Green"
"liebesroman zimt","343","162","9 €","82 €","<50","Red",1,"Green"
"skifahren liebesroman","296","191","12 €","128 €","<50","Red",13,"Green"
"zärtlicher liebesroman","248","1.000","8 €","136 €","93","Red",1,"Green"
"übersinnlicher liebesroman deutsch","234","10.000","2 €","66 €","132","Red",51,"Yellow"
"liebesroman deutsch skifahren","278","52","14 €","110 €","<50","Red",13,"Green"
"urlaubsliebesroman","315","22","11 €","33 €","<50","Red",1,"Green"
"liebesroman skifahren","330","184","12 €","112 €","<50","Red",1,"Green"
"sommerurlaub liebesroman","308","271","10 €","219 €","54","Red",12,"Green"
"übersinnliche liebesroman deutsch","426","10.000","3 €","708 €","164","Red",38,"Green"
"liebesroman auf sizilien","329","92","11 €","258 €","<50","Red",20,"Green"
"liebesroman siedler","1.216","75","31 €","213 €","<50","Red",1,"Green"
