"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"zillertal roman","172","81","14 €","31 €","<50","Red",1,"Green"
"roman zillertal","133","65","8 €","3 €","<50","Red",26,"Green"
"südtirol roman","355","1.000","12 €","632 €","<50","Red",15,"Green"
"südtirol romane","342","1.000","12 €","138 €","<50","Red",20,"Green"
"romane südtirol","326","1.000","13 €","159 €","<50","Red",15,"Green"
"historischer roman südtirol","292","233","15 €","113 €","<50","Red",1,"Green"
"weihnachtsroman zimt","259","139","7 €","89 €","<50","Red",25,"Green"
"roman geschichte südtirol","280","444","14 €","141 €","<50","Red",11,"Green"
"weihnachtsromane zimt","268","284","9 €","86 €","<50","Red",25,"Green"
"weihnachtlicher roman","331","50.000","11 €","503 €","273","Red",43,"Yellow"
"liebesroman zimt","343","162","9 €","82 €","<50","Red",1,"Green"
"sommerroman südtirol","132","260","26 €","51 €","<50","Red",29,"Green"
"romane aus südtirol","312","1.000","14 €","306 €","<50","Red",33,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"ruhrgebiet roman","296","2.000","16 €","172 €","<50","Red",20,"Green"
"historischer roman zimt","473","164","16 €","77 €","<50","Red",20,"Green"
"liebesroman siedler","1.216","75","31 €","213 €","<50","Red",1,"Green"
"weihnachsroman","366","2.000","12 €","880 €","<50","Red",55,"Yellow"
"sommerurlaub roman","3.064","158","11 €","91 €","121","Red",12,"Green"
"weihnachtsbücher roman","314","2.000","12 €","221 €","<50","Red",33,"Green"
