"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"allgäu liebesroman","253","60","6 €","65 €","<50","Red",13,"Green"
"liebesroman allgäu","234","63","3 €","283 €","<50","Red",25,"Green"
"historischer roman allgäu","402","32","9 €","57 €","<50","Red",25,"Green"
"deutsch liebesroman","277","60.000","2 €","1.282 €","902","Red",65,"Yellow"
"liebesroman in österreich","258","92","3 €","71 €","<50","Red",13,"Green"
"liebesroman zeitgenössisch deutsch","329","50.000","2 €","1.418 €","52","Red",64,"Yellow"
"ein liebesroman auf deutsch","279","10.000","2 €","13.174 €","1.178","Green",65,"Yellow"
"alphamann liebesroman","277","1.000","3 €","40 €","<50","Red",20,"Green"
"liebesroman österreich","290","386","3 €","312 €","407","Red",64,"Yellow"
"zeitreise-liebesroman","307","10.000","5 €","220 €","<50","Red",49,"Yellow"
"liebesroman von deutschen autoren","360","5.000","2 €","730 €","124","Red",61,"Yellow"
"alpen liebesromane deutsch","198","2.000","4 €","40 €","<50","Red",49,"Yellow"
"zeitgenossische liebesromane","249","60.000","2 €","10 €","<50","Red",20,"Green"
"zeitgenössischer liebesroman","314","60.000","1 €","1.743 €","372","Red",36,"Green"
"liebesroman alpen","300","2.000","2 €","16 €","<50","Red",34,"Green"
"leidenschaftlicher liebesroman","858","20.000","3 €","262 €","480","Red",64,"Yellow"
