"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"allgäu roman frauen","327","34","8 €","98 €","<50","Red",13,"Green"
"allgäu roman","284","159","6 €","29 €","<50","Red",13,"Green"
"liebesroman allgäu","234","63","3 €","283 €","<50","Red",25,"Green"
"historischer roman allgäu","402","32","9 €","57 €","<50","Red",25,"Green"
"frauenromane","325","10.000","6 €","19.111 €","374","Red",54,"Yellow"
"verheiratete frauen roman","367","365","13 €","22.674 €","719","Yellow",64,"Yellow"
"unabhängige frauen roman","366","203","9 €","3.017 €","2.924","Green",49,"Yellow"
"romane oberbayern","371","270","9 €","97 €","<50","Red",11,"Green"
"frauenroman deutsch","273","20.000","4 €","2.561 €","413","Red",54,"Yellow"
"romance german","305","60.000","3 €","1.822 €","337","Red",62,"Yellow"
"frauen roman deutsch","261","50.000","5 €","1.064 €","<50","Red",45,"Yellow"
"roman verheiratete frauen","139","349","4 €","353 €","852","Yellow",23,"Green"
"romane frauen deutsch","356","50.000","4 €","1.602 €","1.651","Yellow",63,"Yellow"
"roman frauen deutsch","271","60.000","6 €","621 €","589","Yellow",45,"Yellow"
"romance book german","321","60.000","2 €","68 €","<50","Red",61,"Yellow"
"starke frauen romane","585","6.000","5 €","3.788 €","<50","Red",36,"Green"
"mittelalter romane frauen","553","1.000","8 €","1.769 €","55","Red",85,"Red"
"roman deutsch frauen","260","50.000","5 €","620 €","589","Yellow",45,"Yellow"
"deutsche frauen romane","395","60.000","2 €","213 €","470","Yellow",61,"Yellow"
"mittelalter roman frauen","553","1.000","8 €","1.388 €","<50","Red",60,"Yellow"
"deutsche romane frauen","260","60.000","5 €","620 €","589","Yellow",45,"Yellow"
"starke frauen roman","368","6.000","7 €","128 €","<50","Red",40,"Green"
