"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"büro romance deutsch","296","1.000","3 €","570 €","300","Yellow",53,"Yellow"
"c.r. scott","278","4.000","3 €","1.221 €","581","Red",61,"Yellow"
"verbotene liebe altersunterschied","235","442","4 €","13 €","<50","Red",28,"Green"
"hot boss secrets","280","62","3 €","7 €","<50","Red",21,"Green"
"büro liebesromane","291","1.000","3 €","1.519 €","323","Red",68,"Yellow"
"büro liebesromane deutsch","332","1.000","5 €","2.788 €","872","Yellow",67,"Yellow"
"liebesroman deutsch büro","279","1.000","2 €","16.363 €","1.157","Yellow",85,"Red"
"office romance in deutsch","289","224","5 €","230 €","<50","Red",46,"Yellow"
"office romance deutsch","361","982","4 €","3.228 €","856","Yellow",56,"Yellow"
"gay romance office deutsch","272","144","4 €","87 €","52","Red",25,"Green"
"ceo office romance deutsch","317","575","1 €","1.102 €","2.489","Green",64,"Yellow"
"büro liebesromane deutsch gay","167","136","3 €","1 €","1.878","Green",40,"Green"
"boss office romance deutsch","356","821","1 €","433 €","541","Green",62,"Yellow"
"büro romance","97","649","2 €","3 €","<50","Red",59,"Yellow"
"workplace romance deutsch","346","1.000","3 €","299 €","69","Red",64,"Yellow"
"work romance deutsch","280","314","10 €","43 €","<50","Red",3,"Green"
"dirty office romance deutsch","372","165","4 €","130 €","239","Yellow",65,"Yellow"
"gay office romance deutsch","264","139","1 €","28 €","71","Red",61,"Yellow"
"romance in deutsch","238","20.000","1 €","513 €","1.474","Red",65,"Yellow"
"romance auf deutsch","330","10.000","4 €","5.837 €","3.165","Green",56,"Yellow"
"office liebesromane deutsch","341","1.000","2 €","576 €","340","Yellow",38,"Green"
"dark office romance deutsch","286","139","3 €","28 €","<50","Red",39,"Green"
"ceo romance deutsch","362","2.000","1 €","1.089 €","434","Yellow",46,"Yellow"
"mmm romance deutsch","391","235","3 €","413 €","219","Yellow",46,"Yellow"
"büro romance deutsch kindle","404","1.000","2 €","13.904 €","1.460","Green",85,"Red"
