"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"heimatroman romanze","459","188","5 €","48 €","<50","Red",25,"Green"
"heimatroman","356","5.000","3 €","40 €","70","Red",70,"Red"
"liebesroman heimatroman","433","5.000","5 €","171 €","<50","Red",25,"Green"
"heimat liebesromane","333","3.000","4 €","41 €","<50","Red",26,"Green"
"heimat romane","408","5.000","6 €","484 €","<50","Red",44,"Yellow"
"heimat roman","409","6.000","6 €","465 €","<50","Red",38,"Green"
"small town romance liebesroman","339","70.000","2 €","354 €","323","Green",34,"Green"
"ranch liebesroman","326","20.000","3 €","182 €","<50","Red",15,"Green"
"rancher liebesroman","535","20.000","3 €","363 €","153","Red",48,"Yellow"
"small town liebesroman","405","50.000","1 €","21 €","63","Red",29,"Green"
"small-town liebesroman","277","50.000","2 €","2.139 €","246","Red",61,"Yellow"
"country romanze","330","20.000","1 €","11 €","<50","Red",2,"Green"
"country romance novel","378","10.000","2 €","10 €","<50","Red",30,"Green"
"country romance fiction","266","20.000","4 €","113 €","<50","Red",60,"Yellow"
"country romance deutsch","277","289","3 €","522 €","<50","Red",60,"Yellow"
"farm liebesroman","362","10.000","6 €","75 €","<50","Red",39,"Green"
"landwirt liebesroman","207","63","4 €","97 €","<50","Red",40,"Green"
"country romance novels","384","10.000","3 €","10 €","<50","Red",20,"Green"
"rural romance","338","30.000","2 €","15 €","<50","Red",60,"Yellow"
"roman einer heimkehr","186","58","15 €","12 €","<50","Red",22,"Green"
"cottagecore liebesroman","339","222","5 €","52 €","<50","Red",59,"Yellow"
"cowboy liebesroman","313","40.000","4 €","381 €","66","Red",38,"Green"
