"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"liebesroman 40+","455","4.000","7 €","12 €","<50","Red",20,"Green"
"liebesroman ab 40","384","179","6 €","18.431 €","152","Red",44,"Yellow"
"liebesroman ü40","353","18","3 €","179 €","168","Red",60,"Yellow"
"liebesroman über 40","276","164","5 €","69 €","144","Red",36,"Green"
"liebesromane ab 40","310","153","5 €","604 €","209","Yellow",33,"Green"
"sinnvoll liebesroman ab 40","144","1","8 €","15 €","<50","Red",59,"Yellow"
"liebesroman für alle über 40","251","10","8 €","117 €","150","Red",6,"Green"
"liebesroman ab 40 sammelband","593","123","5 €","2.448 €","<50","Red",23,"Green"
"liebesromane deutsch frauen ab 40","387","155","6 €","322 €","<50","Red",45,"Yellow"
"liebesromane für frauen ab 40","403","219","3 €","1.034 €","389","Green",53,"Yellow"
"roman 40plus liebe","266","6","6 €","68 €","<50","Red",14,"Green"
"romance over 40","239","1.000","1 €","1 €","<50","Red",64,"Yellow"
"kindle ebook liebesromane ab 40","327","10","N/A","12 €","<50","Red",64,"Yellow"
"romane von 1940","459","4.000","9 €","1.038 €","<50","Red",51,"Yellow"
"bücher für frauen ab 40 romane","360","114","6 €","717 €","87","Red",53,"Yellow"
"liebesroman ab 50","396","151","3 €","16 €","<50","Red",63,"Yellow"
