"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"liebesromane für frauen ab 40","403","219","3 €","1.034 €","389","Green",53,"Yellow"
"bücher für frauen ab 40","252","191","8 €","1.396 €","221","Yellow",33,"Green"
"liebesromane ab 40","310","153","5 €","604 €","209","Yellow",33,"Green"
"frauenromane ab 40","344","95","4 €","1.305 €","84","Red",57,"Yellow"
"romane für frauen ab 40","395","238","5 €","6.857 €","233","Yellow",54,"Yellow"
"liebesroman für frauen ab 40","315","135","5 €","416 €","<50","Red",35,"Green"
"liebesroman für frauen 40+","259","287","2 €","3.341 €","87","Red",36,"Green"
"liebesroman über 40","276","164","5 €","69 €","144","Red",36,"Green"
"liebesroman ab 40","384","179","6 €","18.431 €","152","Red",44,"Yellow"
"bücher für frauen ab 40 romane","360","114","6 €","717 €","87","Red",53,"Yellow"
"liebesroman für alle über 40","251","10","8 €","117 €","150","Red",6,"Green"
"frauenroman ab 40","329","78","5 €","147 €","<50","Red",22,"Green"
"roman für frauen ab 40","395","179","6 €","855 €","103","Red",53,"Yellow"
"liebesromane deutsch frauen ab 40","387","155","6 €","322 €","<50","Red",45,"Yellow"
"romance für frauen ab 40","288","124","4 €","514 €","<50","Red",44,"Yellow"
"sinnvoll liebesroman ab 40","144","1","8 €","15 €","<50","Red",59,"Yellow"
"liebesroman frau ab 40","286","108","3 €","617 €","<50","Red",53,"Yellow"
