"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"workplace romance deutsch","346","1.000","3 €","299 €","69","Red",64,"Yellow"
"bdsms deutsch liebesromane","292","138","3 €","877 €","428","Yellow",51,"Yellow"
"workplace romance","348","40.000","2 €","182 €","640","Red",91,"Red"
"spicy roman","338","40.000","5 €","1.958 €","336","Red",40,"Green"
"boss romance","417","50.000","3 €","1.060 €","822","Red",80,"Red"
"office romance in deutsch","289","224","5 €","230 €","<50","Red",46,"Yellow"
"arbeitsplatz liebesroman deutsch","382","1.000","7 €","1.011 €","459","Yellow",60,"Yellow"
"boss employee romance auf deutsch","342","215","3 €","307 €","75","Red",31,"Green"
"office romance deutsch","361","982","4 €","3.228 €","856","Yellow",56,"Yellow"
"workplace romance english","417","40.000","3 €","9 €","<50","Red",59,"Yellow"
"arbeitsplatz-romanze","231","448","1 €","93 €","2.605","Yellow",46,"Yellow"
"arbeitsplatzromanze","312","364","5 €","398 €","178","Red",55,"Yellow"
"arbeitsplatz romance","274","973","2 €","1.586 €","1.247","Red",39,"Green"
"work romance deutsch","280","314","10 €","43 €","<50","Red",3,"Green"
"arbeitsplatz romanze","232","364","4 €","429 €","967","Red",58,"Yellow"
"workplace fantasy romance","361","1.000","1 €","8 €","<50","Red",25,"Green"
"spicy office romance deutsch","311","161","2 €","50 €","<50","Red",26,"Green"
"romanze am arbeitsplatz","226","250","6 €","32 €","<50","Red",50,"Yellow"
"office romance","373","30.000","4 €","898 €","86","Red",85,"Red"
"gay office romance deutsch","264","139","1 €","28 €","71","Red",61,"Yellow"
