"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"zweite chance romance","289","6.000","3 €","283 €","166","Red",64,"Yellow"
"zweite-chance-liebesroman","307","6.000","3 €","479 €","354","Red",53,"Yellow"
"zweite-chance-romance","278","6.000","3 €","69 €","64","Red",41,"Yellow"
"zweite chance","341","5.000","2 €","305 €","183","Red",91,"Red"
"zweite chance romance deutsch","297","6.000","3 €","819 €","131","Red",60,"Yellow"
"romance mit 2. chance","318","320","4 €","133 €","<50","Red",47,"Yellow"
"romance mit zweiter chance","321","1.000","3 €","884 €","401","Green",63,"Yellow"
"a second chance romance","253","60.000","2 €","197 €","745","Green",73,"Red"
"romantik der zweiten chance","169","1.000","4 €","481 €","297","Yellow",55,"Yellow"
"liebesroman mit 2. chance","275","440","4 €","18 €","<50","Red",43,"Yellow"
"second chance romance","305","50.000","N/A","903 €","571","Yellow",47,"Yellow"
"second-chance romance","332","50.000","1 €","143 €","487","Red",17,"Green"
"liebesroman über zweite chance","353","1.000","2 €","98 €","251","Yellow",61,"Yellow"
"zweite chance romanze","270","3.000","3 €","304 €","<50","Red",60,"Yellow"
"romance deutsch zweite chance","462","6.000","4 €","385 €","165","Red",64,"Yellow"
"2. chance deutsch liebesroman","295","1.000","6 €","247 €","<50","Red",35,"Green"
"liebesroman mit zweiter chance","403","1.000","3 €","956 €","1.929","Green",58,"Yellow"
